,The Shrine / An Argument_Fleet Foxes
0,shrine
1,went
2,among
3,dust
4,pollen
5,old
6,stone
7,fountain
8,morning
9,dawn
10,underneath
11,pennies
12,fallen
13,hands
14,children
15,gone
16,prechorus
17,wonder
18,became
19,became
20,sunlight
21,matter
22,apples
23,summer
24,cold
25,sweet
26,everyday
27,a'passin
28,complete
29,i'm
30,one
31,ever
32,pray
33,mercy
34,wish
35,pennies
36,fountain
37,shrine
38,day
39,know
40,left
41,money
42,thought
43,copper
44,glowing
45,fine
46,prechorus
47,wonder
48,became
49,became
50,sunlight
51,matter
52,apples
53,summer
54,cold
55,sweet
56,everyday
57,passing
58,complete
59,apples
60,summer
61,cold
62,sweet
63,everyday
64,passing
65,complete
66,morning
67,waking
68,terrible
69,sunlight
70,diffuse
71,like
72,skin
73,abused
74,sun
75,half
76,size
77,talk
78,hardly
79,even
80,look
81,eyes
82,morning
83,morning
84,doorway
85,holding
86,every
87,letter
88,wrote
89,driveway
90,pulling
91,away
92,putting
93,coat
94,ocean
95,washing
96,name
97,throat
98,morning
99,morning
100,ocean
101,washing
102,name
103,throat
104,morning
105,morning
106,green
107,apples
108,hang
109,tree
110,belong
111,green
112,apples
113,hang
114,green
115,apple
116,tree
117,belong
118,stay
119,staring
120,sea
121,waves
122,break
123,ever
124,closer
125,ever
126,near
127,lay
128,sand
129,let
130,ocean
131,lead
132,carry
133,innisfree
134,like
135,pollen
136,breeze
137,argument
