,My Girl_The Temptations
0,instrumental
1,i've
2,got
3,sunshine
4,cloudy
5,day
6,cold
7,outside
8,i've
9,got
10,month
11,may
12,guess
13,say
14,make
15,feel
16,way
17,girl
18,girl
19,girl
20,talkin'
21,'bout
22,girl
23,girl
24,i've
25,got
26,much
27,honey
28,bees
29,envy
30,i've
31,got
32,sweeter
33,song
34,birds
35,trees
36,well
37,guess
38,say
39,make
40,feel
41,way
42,girl
43,girl
44,girl
45,talkin'
46,'bout
47,girl
48,girl
49,ooh
50,ooh
51,hey
52,hey
53,hey
54,ooh
55,ooh
56,hey
57,hey
58,hey
59,ooh
60,ooh
61,yeah
62,need
63,money
64,fortune
65,fame
66,i've
67,got
68,riches
69,baby
70,one
71,man
72,claim
73,well
74,guess
75,say
76,make
77,feel
78,way
79,girl
80,girl
81,girl
82,talkin'
83,'bout
84,girl
85,girl
86,talkin'
87,'bout
88,girl
89,i've
90,got
91,sunshine
92,cloudy
93,day
94,woah
95,woah
96,girl
97,i've
98,even
99,got
100,month
101,may
102,girl
103,talkin'
104,'bout
105,girl
