,I'm Sticking With You_The Velvet Underground
0,i'm
1,sticking
2,'cause
3,i'm
4,made
5,glue
6,anything
7,might
8,i'm
9,gonna
10,held
11,stagecoach
12,rain
13,i'm
14,saw
15,hanging
16,tree
17,made
18,believe
19,i'm
20,sticking
21,'cause
22,i'm
23,made
24,glue
25,anything
26,might
27,i'm
28,gonna
29,people
30,go
31,stratosphere
32,soldiers
33,fighting
34,cong
35,side
36,anything
37,swing
38,hang
39,past
40,right
41,wrong
42,i'll
43,anything
44,anything
45,want
46,i'll
47,anything
48,oh
49,oh
50,i'm
51,sticking
52,oh
53,oh
54,i'm
55,sticking
56,oh
57,oh
58,i'm
59,sticking
60,oh
61,oh
62,i'm
63,sticking
64,oh
65,oh
66,i'm
67,sticking
68,oh
69,oh
70,i'm
71,sticking
72,oh
73,oh
74,i'm
75,sticking
