,Best I Ever Had_Drake
0,know
1,lot
2,girls
3,thinkin'
4,songs
5,get
6,confused
7,one's
8,baby
9,everything
10,ever
11,wanted
12,could
13,real
14,big
15,bigger
16,ever
17,done
18,everything
19,hoes
20,ain't
21,never
22,want
23,forever
24,swear
25,spend
26,whatever
27,'cause
28,hold
29,every
30,time
31,hit
32,get
33,right
34,promise
35,gon'
36,live
37,made
38,beg
39,'til
40,give
41,say
42,thing
43,every
44,single
45,time
46,say
47,fuckin'
48,best
49,ayy
50,fuckin'
51,best
52,ayy
53,fuckin'
54,best
55,ayy
56,fuckin'
57,best
58,ayy
59,best
60,ever
61,ayy
62,best
63,ever
64,ayy
65,best
66,ever
67,ayy
68,best
69,ever
70,say
71,fuckin'
72,know
73,got
74,roommate
75,call
76,there's
77,one
78,put
79,key
80,mat
81,know
82,yup
83,shawty
84,hittin'
85,spots
86,ain't
87,even
88,know
89,even
90,ask
91,twice
92,could
93,heart
94,could
95,share
96,like
97,last
98,slice
99,always
100,felt
101,like
102,accustomed
103,fast
104,life
105,nigga
106,thinkin'
107,met
108,past
109,life
110,sweatpants
111,hair
112,tied
113,chillin'
114,makeup
115,that's
116,prettiest
117,hope
118,take
119,wrong
120,even
121,trip
122,friends
123,say
124,ain't
125,bringin'
126,drake
127,along
128,know
129,i'm
130,workin'
131,i'll
132,soon
133,make
134,home
135,patient
136,waiting
137,room
138,never
139,pay
140,attention
141,rumors
142,assume
143,girls
144,prove
145,i'm
146,one
147,never
148,get
149,confused
150,'cause
151,baby
152,everything
153,ever
154,wanted
155,could
156,real
157,big
158,bigger
159,ever
160,done
161,everything
162,hoes
163,ain't
164,never
165,want
166,forever
167,swear
168,spend
169,whatever
170,'cause
171,hold
172,every
173,time
174,hit
175,get
176,right
177,promise
178,gon'
179,live
180,made
181,beg
182,'til
183,give
184,say
185,thing
186,every
187,single
188,time
189,say
190,fuckin'
191,best
192,ayy
193,fuckin'
194,best
195,ayy
196,fuckin'
197,best
198,ayy
199,fuckin'
200,best
201,ayy
202,best
203,ever
204,ayy
205,best
206,ever
207,ayy
208,best
209,ever
210,ayy
211,best
212,ever
213,say
214,fuckin'
215,sex
216,love
217,pain
218,baby
219,tank
220,shit
221,buzz
222,big
223,could
224,probably
225,sell
226,blank
227,disc
228,album
229,drop
230,bitches'll
231,buy
232,picture
233,niggas'll
234,buy
235,claim
236,got
237,sister
238,magazine
239,paper
240,girl
241,money
242,ain't
243,issue
244,bring
245,dinner
246,room
247,ask
248,initial
249,call
250,referee
251,'cause
252,official
253,shirt
254,ain't
255,got
256,stripes
257,make
258,pussy
259,whistle
260,like
261,andy
262,griffith
263,theme
264,song
265,told
266,put
267,jeans
268,double
269,cup
270,love
271,one
272,lean
273,feelin'
274,fix
275,really
276,get
277,fiend
278,yeah
279,know
280,condo
281,crack
282,spot
283,every
284,single
285,show
286,reppin'
287,like
288,mascot
289,get
290,back
291,make
292,fuckin'
293,bra
294,strap
295,pop
296,slot
297,'til
298,nigga
299,hit
300,jackpot
301,i'm
302,saying
303,baby
304,everything
305,ever
306,wanted
307,could
308,real
309,big
310,bigger
311,ever
312,done
313,everything
314,hoes
315,ain't
316,never
317,want
318,forever
319,swear
320,spend
321,whatever
322,'cause
323,hold
324,every
325,time
326,hit
327,get
328,right
329,promise
330,gon'
331,live
332,made
333,beg
334,'til
335,give
336,say
337,thing
338,every
339,single
340,time
341,say
342,fuckin'
343,best
344,ayy
345,fuckin'
346,best
347,ayy
348,fuckin'
349,best
350,ayy
351,fuckin'
352,best
353,ayy
354,best
355,ever
356,ayy
357,best
358,ever
359,ayy
360,best
361,ever
362,ayy
363,best
364,ever
365,say
366,fuckin'
367,best
368,ayy
369,fuckin'
370,best
371,ayy
372,fuckin'
373,best
374,ayy
375,fuckin'
376,best
377,ayy
378,best
379,ever
380,ayy
381,best
382,ever
383,ayy
384,best
385,ever
386,ayy
387,best
388,ever
389,uhh
390,ah
391,yeah
392,see
393,type
394,joint
395,gotta
396,dedicate
397,somebody
398,make
399,sure
400,special
401,somebody
402,young
403,money
404,yeah
405,yeah
406,know
407,got
