,Creature Fear_Bon Iver
0,full
1,count
2,lost
3,fool
4,long
5,visit
6,wrong
7,say
8,many
9,foreign
10,worlds
11,relatively
12,fucked
13,ready
14,us
15,ready
16,us
17,creature
18,fear
19,teased
20,blouse
21,spit
22,mouth
23,loud
24,lowered
25,seminary
26,sold
27,tear
28,tail
29,take
30,wind
31,soft
32,bloody
33,nose
34,sign
35,another
36,floor
37,many
38,territories
39,ready
40,reform
41,don’t
42,let
43,form
44,us
45,don’t
46,let
47,form
48,us
49,creature
50,fear
51,foil
52,ready
53,reform
54,many
55,torahs
56,many
57,us
58,creature
59,fear
