,This Will Be Our Year_The Zombies
0,warmth
1,love's
2,like
3,warmth
4,sun
5,year
6,took
7,long
8,time
9,come
10,let
11,go
12,hand
13,darkness
14,gone
15,year
16,took
17,long
18,time
19,come
20,forget
21,way
22,held
23,forget
24,way
25,said
26,darling
27,love
28,gave
29,faith
30,go
31,we're
32,we've
33,begun
34,year
35,took
36,long
37,time
38,come
39,warmth
40,smile
41,smile
42,little
43,one
44,year
45,took
46,long
47,time
48,come
49,worry
50,worried
51,days
52,gone
53,year
54,took
55,long
56,time
57,come
58,forget
59,way
60,held
61,forget
62,way
63,said
64,darling
65,love
66,gave
67,faith
68,go
69,we're
70,we've
71,begun
72,year
73,took
74,long
75,time
76,come
77,year
78,took
79,long
80,time
81,come
