,Punk Rock Princess_Something Corporate
0,maybe
1,room
2,empty
3,maybe
4,bottle's
5,full
6,maybe
7,door
8,gets
9,broke
10,love
11,break
12,maybe
13,i'm
14,done
15,thinking
16,maybe
17,think
18,whole
19,maybe
20,i'm
21,done
22,endings
23,begin
24,prechorus
25,begin
26,begin
27,could
28,punk
29,rock
30,princess
31,would
32,garage
33,band
34,king
35,could
36,tell
37,fit
38,gonna
39,something
40,maybe
41,hair
42,gets
43,darker
44,maybe
45,eyes
46,get
47,wide
48,maybe
49,walls
50,smaller
51,space
52,maybe
53,i'm
54,tired
55,maybe
56,step
57,inside
58,maybe
59,look
60,things
61,can't
62,replace
63,prechorus
64,can't
65,replace
66,can't
67,replace
68,could
69,punk
70,rock
71,princess
72,would
73,garage
74,band
75,king
76,could
77,tell
78,fit
79,gonna
80,something
81,could
82,first
83,real
84,heartache
85,would
86,could
87,punk
88,rock
89,princess
90,would
91,heroin
92,well
93,never
94,thought
95,last
96,never
97,dreamed
98,would
99,watch
100,life
101,go
102,past
103,wonder
104,punk
105,rock
106,princess
107,would
108,garage
109,band
110,king
111,could
112,tell
113,fit
114,gonna
115,something
116,could
117,first
118,real
119,heartache
120,would
121,could
122,punk
123,rock
124,princess
125,would
126,heroin
127,whoa
128,oh
129,know
130,burn
131,bridges
132,whoa
133,oh
134,know
135,can't
136,let
137,sink
138,could
139,heroine
140,could
141,heroine
