,I Will Remember You_Sarah McLachlan
0,remember
1,remember
2,let
3,life
4,pass
5,weep
6,memories
7,remember
8,good
9,times
10,let
11,slip
12,away
13,us
14,things
15,got
16,bad
17,clearly
18,first
19,saw
20,smilin'
21,sun
22,want
23,feel
24,warmth
25,upon
26,want
27,one
28,remember
29,remember
30,let
31,life
32,pass
33,weep
34,memories
35,i'm
36,tired
37,can't
38,sleep
39,standin'
40,edge
41,something
42,much
43,deep
44,funny
45,feel
46,much
47,cannot
48,say
49,word
50,screaming
51,inside
52,oh
53,can't
54,heard
55,remember
56,bee
57,dahm
58,dahm
59,dahm
60,remember
61,bee
62,dah
63,dah
64,dah
65,let
66,life
67,pass
68,bee
69,dahm
70,dahm
71,dahm
72,weep
73,memories
74,bee
75,dahm
76,dahm
77,dahm
78,dahm
79,dahm
80,bee
81,dahm
82,dahm
83,dahm
84,dahm
85,dahm
86,dahm
87,afraid
88,love
89,afraid
90,lose
91,clinging
92,past
93,let
94,choose
95,darkness
96,deep
97,endless
98,night
99,gave
100,everything
101,oh
102,gave
103,life
104,remember
105,bee
106,dahm
107,dahm
108,dahm
109,remember
110,bee
111,dahm
112,dahm
113,dahm
114,let
115,life
116,pass
117,bee
118,dahm
119,dahm
120,dahm
121,weep
122,memories
123,remember
124,bee
125,dahm
126,dahm
127,dahm
128,remember
129,bee
130,dahm
131,dahm
132,dahm
133,let
134,life
135,pass
136,bee
137,dahm
138,dahm
139,dahm
140,weep
141,memories
142,weep
143,memories
