,Come Back to Bed_John Mayer
0,still
1,life
2,room
3,inside
4,things
5,tell
6,sweetest
7,story
8,line
9,tears
10,sheets
11,footsteps
12,hall
13,tell
14,can't
15,find
16,moment
17,went
18,wrong
19,mad
20,morning
21,i'll
22,take
23,back
24,said
25,leave
26,alone
27,cold
28,baby
29,come
30,back
31,bed
32,come
33,back
34,bed
35,come
36,back
37,bed
38,come
39,back
40,bed
41,come
42,back
43,bed
44,fix
45,know
46,quick
47,forgive
48,sleep
49,survive
50,breath
51,finished
52,mad
53,morning
54,i'll
55,take
56,back
57,said
58,leave
59,alone
60,cold
61,baby
62,come
63,back
64,bed
65,come
66,back
67,bed
68,come
69,back
70,bed
71,come
72,back
73,bed
74,mad
75,morning
76,afternoon
77,instead
78,leave
79,ninetyeight
80,six
81,degrees
82,separation
83,baby
84,come
85,back
86,bed
87,come
88,back
89,bed
90,come
91,back
92,bed
93,come
94,back
95,bed
96,hold
97,love
98,head
99,hold
100,love
101,head
102,hold
103,love
104,head
105,hold
106,love
107,head
108,hold
109,love
110,head
111,hold
112,love
