,Fair_Remy Zero
0,hey
1,lonely
2,summer
3,gone
4,slowly
5,found
6,ground
7,damage
8,done
9,cold
10,fade
11,sun
12,where'd
13,go
14,alive
15,well
16,fallen
17,frames
18,told
19,stand
20,loud
21,cold
22,face
23,wind
24,where'd
25,go
26,tonight
27,sun
28,shall
29,see
30,light
31,catch
32,would
33,land
34,somebody's
35,life
36,taking
37,hands
38,sing
39,hope
40,thrown
41,sand
42,work
43,raided
44,go
45,somehow
46,rain
47,thing
48,could
49,allow
50,tried
51,wrong
52,strong
53,life
54,work
55,choice
56,took
57,far
58,long
59,where'd
60,go
61,tonight
62,sun
63,shall
64,see
65,light
66,catch
67,would
68,land
69,somebody's
70,life
71,taking
72,hands
73,sing
74,hope
75,thrown
76,sand
77,work
78,raided
79,sure
80,follow
81,world
82,turned
83,blue
84,thin
85,hide
86,songs
87,would
88,die
89,i'd
90,hide
91,mine
92,words
93,bound
94,fail
95,know
96,fail
97,see
98,tell
