,Clark Gable_The Postal Service
0,waiting
1,crosstown
2,train
3,london
4,underground
5,struck
6,struck
7,i've
8,waiting
9,since
10,birth
11,find
12,love
13,would
14,look
15,sound
16,like
17,movie
18,changed
19,plans
20,rented
21,camera
22,van
23,called
24,called
25,need
26,pretend
27,love
28,agreed
29,want
30,badly
31,believe
32,truth
33,love
34,real
35,want
36,life
37,every
38,word
39,extent
40,absurd
41,greased
42,lens
43,framed
44,shot
45,using
46,friend
47,standin
48,standin
49,script
50,called
51,rain
52,clear
53,day
54,faked
55,marker
56,snapped
57,yelled
58,quiet
59,set
60,called
61,action
62,called
63,action
64,kissed
65,style
66,clark
67,gable
68,would
69,admired
70,thought
71,classic
72,want
73,badly
74,believe
75,truth
76,love
77,real
78,want
79,life
80,every
81,word
82,extent
83,absurd
84,know
85,wise
86,beyond
87,years
88,ever
89,get
90,fear
91,perfect
92,lie
93,tell
94,help
95,get
96,tell
97,help
98,get
99,tell
100,help
101,get
