,I Don't Want Love_The Antlers
0,wanna
1,climb
2,stairs
3,wanna
4,push
5,back
6,let
7,inside
8,push
9,around
10,leave
11,walk
12,alone
13,keep
14,hands
15,follow
16,home
17,want
18,love
19,want
20,love
21,wake
22,pounding
23,heads
24,bruised
25,built
26,better
27,walls
28,slept
29,clothes
30,see
31,desperate
32,stoned
33,keep
34,prison
35,locked
36,leave
37,gun
38,home
39,want
40,love
41,want
42,love
43,want
44,love
