,Half of My Heart_John Mayer
0,john
1,mayer
2,born
3,arms
4,imaginary
5,friends
6,free
7,roam
8,made
9,home
10,everywhere
11,i've
12,come
13,crashing
14,like
15,realest
16,thing
17,trying
18,best
19,understand
20,love
21,bring
22,john
23,mayer
24,taylor
25,swift
26,oh
27,half
28,heart's
29,got
30,grip
31,situation
32,half
33,heart
34,takes
35,time
36,half
37,heart's
38,got
39,right
40,mind
41,tell
42,can't
43,keep
44,loving
45,can't
46,keep
47,loving
48,oh
49,half
50,heart
51,john
52,mayer
53,made
54,believe
55,i'd
56,never
57,love
58,somebody
59,else
60,made
61,plan
62,stay
63,man
64,love
65,lonely
66,song
67,sang
68,day
69,came
70,showing
71,another
72,way
73,love
74,bring
75,john
76,mayer
77,taylor
78,swift
79,oh
80,half
81,heart's
82,got
83,grip
84,situation
85,half
86,heart
87,takes
88,time
89,half
90,heart's
91,got
92,right
93,mind
94,tell
95,can't
96,keep
97,loving
98,can't
99,keep
100,loving
101,oh
102,half
103,heart
104,john
105,mayer
106,faith
107,strong
108,fall
109,short
110,long
111,road
112,later
113,hate
114,never
115,gave
116,half
117,heart
118,can't
119,stop
120,loving
121,backup
122,vocals
123,taylor
124,swift
125,can't
126,stop
127,loving
128,can't
129,stop
130,loving
131,half
132,half
133,heart
134,half
135,heart
136,john
137,mayer
138,taylor
139,swift
140,half
141,heart’s
142,got
143,real
144,cool
145,imagination
146,half
147,heart’s
148,got
149,half
150,heart’s
151,got
152,right
153,mind
154,tell
155,half
156,heart
157,won’t
158,john
159,mayer
160,half
161,heart
162,shotgun
163,wedding
164,bride
165,paper
166,ring
167,half
168,heart
169,part
170,man
171,who's
172,never
173,truly
174,loved
175,anything
176,half
177,heart
178,half
179,heart
180,half
181,heart
182,half
183,heart
184,half
185,heart
186,half
187,heart
