,Walking After You_Foo Fighters
0,tonight
1,i'm
2,tangled
3,blanket
4,clouds
5,dreaming
6,aloud
7,things
8,without
9,matter
10,fact
11,i'm
12,back
13,i'm
14,back
15,i'm
16,back
17,walk
18,i'm
19,walking
20,walk
21,i'm
22,walking
23,accept
24,surrender
25,i'll
26,give
27,adored
28,cannot
29,without
30,matter
31,fact
32,i'm
33,back
34,i'm
35,back
36,i'm
37,back
38,walk
39,i'm
40,walking
41,walk
42,i'm
43,walking
44,another
45,heart
46,cracked
47,two
48,i'm
49,back
50,cannot
51,without
52,matter
53,fact
54,i'm
55,back
56,i'm
57,back
58,i'm
59,back
60,walk
61,i'm
62,walking
63,walk
64,i'm
65,walking
66,walk
67,i'm
68,walking
69,another
70,heart
71,cracked
72,two
73,i'm
74,back
