,Loft Music_The Weeknd
0,oh
1,ohooh
2,oh
3,woah
4,oh
5,woah
6,oh
7,oh
8,say
9,brain
10,meltin'
11,thing
12,i'll
13,tell
14,'em
15,i'm
16,livin'
17,present
18,future
19,exist
20,baby
21,take
22,clothes
23,chance
24,like
25,may
26,never
27,get
28,show
29,show
30,show
31,talking
32,unless
33,like
34,tease
35,baby
36,reality
37,know
38,please
39,baby
40,blueball
41,queen
42,take
43,fuckin'
44,seat
45,baby
46,ride
47,know
48,wanna
49,scream
50,baby
51,better
52,next
53,man
54,swingin'
55,get
56,dumber
57,next
58,man
59,'cause
60,play
61,unless
62,keys
63,play
64,day
65,day
66,like
67,keys
68,gon'
69,play
70,day
71,day
72,wet
73,dream
74,fry
75,brain
76,day
77,day
78,think
79,lost
80,morals
81,girl
82,okay
83,'cause
84,need
85,'em
86,we're
87,goin'
88,twofloor
89,loft
90,middle
91,city
92,rollin'
93,city
94,promise
95,gon'
96,see
97,i'm
98,fuckin'
99,girl
100,amnesia
101,put
102,mind
103,dream
104,world
105,doin'
106,bathroom
107,woah
108,hear
109,noises
110,bathroom
111,woah
112,baby
113,okay
114,living
115,room
116,twisting
117,turns
118,'em
119,girls
120,fuck
121,seem
122,different
123,pills
124,'em
125,tell
126,us
127,love
128,us
129,even
130,though
131,want
132,next
133,man
134,next
135,man's
136,bitch
137,want
138,third
139,man
140,eddie
141,murphy
142,shit
143,yeah
144,trade
145,places
146,rehearse
147,lines
148,fuck
149,faces
150,yeah
151,know
152,get
153,buzz
154,mix
155,hash
156,come
157,fuck
158,us
159,i'm
160,raw
161,mothafucka
162,i'm
163,raw
164,love
165,lost
166,niggas
167,man
168,bitches
169,can't
170,touch
171,got
172,wanted
173,i'll
174,plug
175,nigga
176,step
177,man
178,got
179,'em
180,yeah
181,got
182,'em
183,'til
184,ending
185,credits
186,life's
187,movie
188,filmed
189,independent
190,us
191,city
192,please
193,get
194,offended
195,answer
196,calls
197,got
198,problem
199,come
200,find
201,us
202,talk
203,what's
204,good
205,young
206,ho
207,got
208,loft
209,right
210,excited
211,excited
212,ooh
213,ooh
214,ah
215,ah
216,oohahh
217,thinkin'
218,thinkin'
219,yeah
220,thinkin'
221,ooh
222,thinkin'
223,thinkin'
224,thinkin'
225,thinkin'
226,thinkin'
227,'bout
228,ooh
229,know
230,everything
231,ooh
232,know
233,everything
234,know
235,know
236,ahh
237,ahh
238,ahh
239,ooh
240,oohahh
241,ahh
242,ahh
243,ooh
244,oh
245,ahh
246,ahhooh
247,ooh
