,Mine_Taylor Swift
0,college
1,working
2,parttime
3,waiting
4,tables
5,left
6,small
7,town
8,never
9,looked
10,back
11,flight
12,risk
13,fear
14,falling
15,wondering
16,bother
17,love
18,never
19,lasts
20,prechorus
21,say
22,believe
23,we're
24,lying
25,couch
26,moment
27,could
28,see
29,yes
30,yes
31,see
32,remember
33,sitting
34,water
35,put
36,arm
37,around
38,first
39,time
40,made
41,rebel
42,careless
43,man's
44,careful
45,daughter
46,best
47,thing
48,that's
49,ever
50,mine
51,flash
52,forward
53,we're
54,taking
55,world
56,together
57,there's
58,drawer
59,things
60,place
61,learn
62,secrets
63,figure
64,i'm
65,guarded
66,say
67,we'll
68,never
69,make
70,parents'
71,mistakes
72,prechorus
73,got
74,bills
75,pay
76,got
77,nothing
78,figured
79,hard
80,take
81,yes
82,yes
83,thought
84,remember
85,sitting
86,water
87,put
88,arm
89,around
90,first
91,time
92,made
93,rebel
94,careless
95,man's
96,careful
97,daughter
98,best
99,thing
100,that's
101,ever
102,mine
103,remember
104,city
105,lights
106,water
107,saw
108,start
109,believe
110,first
111,time
112,made
113,rebel
114,careless
115,man's
116,careful
117,daughter
118,best
119,thing
120,that's
121,ever
122,mine
123,remember
124,fight
125,230
126,everything
127,slipping
128,right
129,hands
130,ran
131,crying
132,followed
133,street
134,braced
135,goodbye
136,'cause
137,that's
138,i've
139,ever
140,known
141,took
142,surprise
143,said
144,i'll
145,never
146,leave
147,alone
148,said
149,remember
150,felt
151,sitting
152,water
153,every
154,time
155,look
156,like
157,first
158,time
159,fell
160,love
161,careless
162,man's
163,careful
164,daughter
165,best
166,thing
167,that's
168,ever
169,mine
170,hold
171,make
172,last
173,hold
174,never
175,turn
176,back
177,made
178,rebel
179,careless
180,man's
181,careful
182,daughter
183,best
184,thing
185,that's
186,ever
187,mine
188,yeah
189,yeah
190,believe
191,hold
192,we're
193,gonna
194,make
195,hold
196,see
197,yeah
198,yeah
199,see
200,see
