,Impossible_Shontelle
0,remember
1,years
2,ago
3,someone
4,told
5,take
6,caution
7,comes
8,love
9,strong
10,illusion
11,mistake
12,careless
13,forgot
14,prechorus
15,done
16,nothing
17,say
18,gone
19,effortlessly
20,go
21,ahead
22,tell
23,tell
24,know
25,shout
26,rooftops
27,write
28,skyline
29,gone
30,tell
31,happy
32,heart
33,broken
34,scars
35,open
36,tell
37,hoped
38,would
39,impossible
40,impossible
41,impossible
42,impossible
43,falling
44,love
45,hard
46,falling
47,betrayal
48,worse
49,broken
50,trust
51,broken
52,hearts
53,know
54,know
55,thinking
56,need
57,building
58,faith
59,love
60,words
61,empty
62,promises
63,wear
64,know
65,know
66,prechorus
67,gone
68,nothing
69,say
70,done
71,embarrassing
72,go
73,ahead
74,tell
75,tell
76,know
77,shout
78,rooftops
79,write
80,skyline
81,gone
82,tell
83,happy
84,heart
85,broken
86,scars
87,open
88,tell
89,hoped
90,would
91,impossible
92,impossible
93,impossible
94,impossible
95,let
96,tell
97,impossible
98,impossible
99,impossible
100,impossible
101,postchorus
102,ooh
103,impossible
104,yeah
105,yeah
106,remember
107,years
108,ago
109,someone
110,told
111,take
112,caution
113,comes
114,love
115,tell
116,know
117,yeah
118,shout
119,rooftops
120,shout
121,rooftops
122,write
123,skyline
124,gone
125,hey
126,tell
127,happy
128,tell
129,happy
130,heart
131,broken
132,heart
133,broken
134,scars
135,open
136,tell
137,hoped
138,would
139,whoa
140,impossible
141,impossible
142,impossible
143,impossible
144,impossible
145,impossible
146,let
147,tell
148,impossible
149,impossible
150,said
151,let
152,tell
153,impossible
154,impossible
155,remember
156,years
157,ago
158,someone
159,told
160,take
161,caution
162,comes
163,love
