,Possession_Sarah McLachlan
0,listen
1,wind
2,blows
3,across
4,great
5,divide
6,voices
7,trapped
8,yearning
9,memories
10,trapped
11,time
12,night
13,companion
14,solitude
15,guide
16,would
17,spend
18,forever
19,satisfied
20,would
21,one
22,hold
23,kiss
24,hard
25,i'll
26,take
27,breath
28,away
29,wipe
30,away
31,tears
32,close
33,eyes
34,dear
35,world
36,stumble
37,many
38,times
39,betrayed
40,trying
41,find
42,honest
43,word
44,find
45,truth
46,enslaved
47,oh
48,speak
49,riddles
50,speak
51,rhymes
52,body
53,aches
54,breathe
55,breath
56,words
57,keep
58,alive
59,would
60,one
61,hold
62,kiss
63,hard
64,i'll
65,take
66,breath
67,away
68,wipe
69,away
70,tears
71,close
72,eyes
73,dear
74,night
75,wander
76,morning
77,dread
78,another
79,day
80,knowing
81,path
82,fear
83,tread
84,oh
85,sea
86,waking
87,dreams
88,follow
89,without
90,pride
91,nothing
92,stands
93,us
94,denied
95,would
96,one
97,hold
98,kiss
99,hard
100,i'll
101,take
102,breath
103,away
104,wipe
105,away
106,tears
107,close
108,eyes
109,dear
110,hold
111,kiss
112,hard
113,i'll
114,take
115,breath
116,away
117,wipe
118,away
119,tears
120,close
121,eyes
