,Love Will Tear Us Apart_Joy Division
0,routine
1,bites
2,hard
3,ambitions
4,low
5,resentment
6,rides
7,high
8,emotions
9,grow
10,we're
11,changing
12,ways
13,taking
14,different
15,roads
16,love
17,love
18,tear
19,us
20,apart
21,love
22,love
23,tear
24,us
25,apart
26,bedroom
27,cold
28,turned
29,away
30,side
31,timing
32,flawed
33,respect
34,runs
35,dry
36,yet
37,there's
38,still
39,appeal
40,we've
41,kept
42,lives
43,love
44,love
45,tear
46,us
47,apart
48,love
49,love
50,tear
51,us
52,apart
53,guitar
54,solo
55,cry
56,sleep
57,failings
58,exposed
59,there's
60,taste
61,mouth
62,desperation
63,takes
64,hold
65,something
66,good
67,can't
68,function
69,love
70,love
71,tear
72,us
73,apart
74,love
75,love
76,tear
77,us
78,apart
79,love
80,love
81,tear
82,apart
83,love
84,love
85,tear
86,apart
