,In Your Light_Gotye
0,get
1,morning
2,can't
3,keep
4,i'm
5,falling
6,could
7,jump
8,skin
9,wanna
10,break
11,door
12,greet
13,day
14,'cause
15,ain't
16,nothing
17,that's
18,certain
19,keep
20,blues
21,away
22,say
23,la
24,la
25,hey
26,hey
27,say
28,la
29,la
30,hey
31,hey
32,settle
33,sadness
34,voices
35,head
36,i'm
37,glow
38,warmth
39,throw
40,put
41,bed
42,light
43,i'm
44,light
45,light
46,i'm
47,light
48,light
49,i'm
50,light
51,light
52,i'm
53,light
54,light
55,i'm
56,light
57,light
58,i'm
59,light
60,get
61,take
62,light
63,away
64,light
65,i'm
66,light
67,smiling
68,need
69,put
70,behind
71,worry
72,life's
73,complexities
74,may
75,moment
76,world
77,falls
78,away
79,forget
80,everything
81,else
82,depressed
83,yesterday
84,sing
85,la
86,la
87,hey
88,hey
89,yeah
90,sing
91,la
92,la
93,hey
94,hey
95,i'm
96,light
97,clear
98,could
99,always
100,right
101,i'm
102,light
103,i'm
104,light
105,get
106,take
107,light
108,away
109,la
110,la
111,hey
112,hey
113,light
114,i'm
115,light
116,i'm
117,light
118,clear
119,light
120,i'm
121,light
122,could
123,always
124,right
125,light
126,i'm
127,light
128,light
129,i'm
130,light
131,light
132,i'm
133,light
134,get
135,take
136,light
137,away
138,light
139,i'm
140,light
141,get
142,take
143,light
144,away
145,light
146,i'm
147,light
148,get
149,take
150,light
151,away
