,I Never Told You_Colbie Caillat
0,miss
1,blue
2,eyes
3,kiss
4,night
5,miss
6,way
7,sleep
8,like
9,there's
10,sunrise
11,like
12,taste
13,smile
14,miss
15,way
16,breathe
17,prechorus
18,never
19,told
20,said
21,never
22,told
23,held
24,miss
25,everything
26,can't
27,believe
28,still
29,want
30,things
31,we've
32,miss
33,everything
34,without
35,see
36,blue
37,eyes
38,every
39,time
40,close
41,mine
42,make
43,hard
44,see
45,belong
46,i'm
47,around
48,like
49,i'm
50,prechorus
51,never
52,told
53,said
54,never
55,told
56,held
57,miss
58,everything
59,still
60,gone
61,can't
62,believe
63,still
64,want
65,loving
66,never
67,walked
68,away
69,things
70,we've
71,know
72,never
73,gonna
74,come
75,miss
76,everything
77,without
78,whoa
79,oh
80,prechorus
81,never
82,told
83,said
84,never
85,told
86,held
87,miss
88,everything
89,still
90,gone
91,can't
92,believe
93,still
94,want
95,loving
96,never
97,walked
98,away
99,things
100,we've
101,know
102,never
103,gonna
104,come
105,miss
106,everything
107,without
108,whoa
109,oh
110,mmm
111,mmmm
