,Lay Lady Lay_Bob Dylan
0,lay
1,lady
2,lay
3,lay
4,across
5,big
6,brass
7,bed
8,lay
9,lady
10,lay
11,lay
12,across
13,big
14,brass
15,bed
16,whatever
17,colors
18,mind
19,i’ll
20,show
21,you’ll
22,see
23,shine
24,lay
25,lady
26,lay
27,lay
28,across
29,big
30,brass
31,bed
32,stay
33,lady
34,stay
35,stay
36,man
37,awhile
38,break
39,day
40,let
41,see
42,ya'
43,make
44,smile
45,clothes
46,dirty
47,hands
48,clean
49,you’re
50,best
51,thing
52,he’s
53,ever
54,seen
55,stay
56,lady
57,stay
58,stay
59,man
60,awhile
61,wait
62,longer
63,world
64,begin
65,cake
66,eat
67,wait
68,longer
69,one
70,love
71,he’s
72,standing
73,front
74,lay
75,lady
76,lay
77,lay
78,across
79,big
80,brass
81,bed
82,stay
83,lady
84,stay
85,stay
86,night
87,still
88,ahead
89,long
90,see
91,morning
92,light
93,long
94,reach
95,night
96,stay
97,lady
98,stay
99,stay
100,night
101,still
102,ahead
