,I Know_Fiona Apple
0,i’m
1,crowbar
2,that’s
3,far
4,get
5,mess
6,pretend
7,don’t
8,know
9,sins
10,ready
11,confess
12,time
13,time
14,i’ll
15,know
16,i’ll
17,know
18,use
19,skin
20,bury
21,secrets
22,settle
23,suggestion
24,ask
25,questions
26,thing
27,background
28,time
29,time
30,i’ll
31,know
32,i’ll
33,know
34,breakdown
35,baby
36,can't
37,help
38,still
39,around
40,time
41,i'm
42,patient
43,amidst
44,bitterness
45,consider
46,even
47,don’t
48,make
49,sense
50,time
51,give
52,time
53,crowd
54,becomes
55,burden
56,early
57,closed
58,curtain
59,i'll
60,wait
61,backstage
62,door
63,try
64,find
65,lines
66,speak
67,mind
68,pry
69,open
70,hoping
71,encore
72,gets
73,late
74,wait
75,find
76,love
77,tell
78,it’s
79,ok
80,don’t
81,need
82,say
