,Heartbeats_José González
0,one
1,night
2,confused
3,one
4,night
5,speed
6,truth
7,promise
8,made
9,four
10,hands
11,away
12,influence
13,divine
14,sense
15,know
16,say
17,mind
18,razor
19,blade
20,call
21,hands
22,lean
23,good
24,enough
25,one
26,night
27,magic
28,rush
29,start
30,simple
31,touch
32,one
33,night
34,push
35,scream
36,relief
37,ten
38,days
39,perfect
40,hues
41,colors
42,red
43,blue
44,promise
45,made
46,love
47,call
48,hands
49,lean
50,good
51,enough
52,call
53,hands
54,lean
55,good
56,enough
57,knew
58,hand
59,devil
60,kept
61,us
62,awake
63,wolf
64,teeth
65,sharing
66,different
67,heartbeats
68,one
69,night
70,call
71,hands
72,lean
73,good
74,enough
75,call
76,hands
77,lean
78,good
79,enough
