,I Know Places_Taylor Swift
0,recorder
1,click
2,ii
3,ii
4,ii
5,stand
6,hand
7,waistline
8,scene
9,we're
10,plain
11,sight
12,hear
13,whisper
14,pass
15,bad
16,sign
17,bad
18,sign
19,something
20,happens
21,everybody
22,finds
23,see
24,vultures
25,circling
26,dark
27,clouds
28,love's
29,fragile
30,little
31,flame
32,could
33,burn
34,could
35,burn
36,prechorus
37,'cause
38,got
39,cages
40,got
41,boxes
42,guns
43,hunters
44,foxes
45,run
46,baby
47,know
48,places
49,found
50,they'll
51,chasing
52,tails
53,trying
54,track
55,us
56,'cause
57,know
58,places
59,hide
60,know
61,places
62,know
63,places
64,lights
65,flash
66,we'll
67,run
68,fences
69,let
70,say
71,want
72,hear
73,loose
74,lips
75,sink
76,ships
77,damn
78,time
79,time
80,prechorus
81,grab
82,hand
83,ever
84,drop
85,love
86,hunters
87,foxes
88,run
89,baby
90,know
91,places
92,found
93,they'll
94,chasing
95,tails
96,trying
97,track
98,us
99,'cause
100,know
101,places
102,hide
103,know
104,places
105,hunters
106,foxes
107,run
108,grab
109,hand
110,ever
111,drop
112,love
113,baby
114,know
115,places
116,found
117,they'll
118,chasing
119,tails
120,trying
121,track
122,us
123,'cause
124,know
125,places
126,hide
127,know
128,places
129,take
130,shots
131,we're
132,bulletproof
133,know
134,places
135,know
136,always
137,know
138,places
139,dead
140,night
141,eyes
142,green
143,know
144,places
145,know
146,always
147,know
148,places
149,ii
150,ii
151,recorder
152,click
