,I Won't Give Up_Jason Mraz
0,look
1,eyes
2,like
3,watching
4,night
5,sky
6,beautiful
7,sunrise
8,well
9,there's
10,much
11,hold
12,like
13,old
14,stars
15,see
16,come
17,far
18,right
19,old
20,soul
21,prechorus
22,well
23,give
24,us
25,even
26,skies
27,get
28,rough
29,i'm
30,giving
31,love
32,i'm
33,still
34,looking
35,prechorus
36,needing
37,space
38,navigating
39,i'll
40,patiently
41,waiting
42,see
43,find
44,'cause
45,even
46,stars
47,burn
48,even
49,fall
50,earth
51,we've
52,got
53,lot
54,learn
55,god
56,knows
57,we're
58,worth
59,give
60,wanna
61,someone
62,walks
63,away
64,easily
65,i'm
66,stay
67,make
68,difference
69,make
70,differences
71,lot
72,teach
73,us
74,use
75,tools
76,gifts
77,got
78,yeah
79,got
80,lot
81,stake
82,end
83,still
84,friend
85,least
86,intend
87,us
88,work
89,break
90,burn
91,learn
92,bend
93,without
94,world
95,caving
96,learn
97,got
98,i'm
99,give
100,us
101,even
102,skies
103,get
104,rough
105,i'm
106,giving
107,love
108,i'm
109,still
110,looking
111,i'm
112,still
113,looking
114,well
115,give
116,us
117,god
118,knows
119,i'm
120,tough
121,enough
122,got
123,lot
124,learn
125,god
126,knows
127,we're
128,worth
129,we're
130,worth
131,give
132,us
133,even
134,skies
135,get
136,rough
137,i'm
138,giving
139,love
140,i'm
141,still
142,looking
