,To Build a Home_The Cinematic Orchestra
0,house
1,built
2,stone
3,wooden
4,floors
5,walls
6,window
7,sills
8,tables
9,chairs
10,worn
11,dust
12,place
13,feel
14,alone
15,place
16,feel
17,home
18,built
19,home
20,disappeared
21,time
22,leave
23,turn
24,dust
25,garden
26,planted
27,seeds
28,tree
29,old
30,branches
31,sewn
32,color
33,green
34,ground
35,arose
36,passed
37,knees
38,cracks
39,skin
40,climbed
41,top
42,climbed
43,tree
44,see
45,world
46,gusts
47,came
48,around
49,blow
50,held
51,tightly
52,held
53,onto
54,held
55,tightly
56,held
57,onto
58,built
59,home
60,disappeared
61,time
62,leave
63,turn
64,dust
