,Here Comes My Baby_Cat Stevens
0,midnight
1,moonlight
2,i'll
3,walkin'
4,long
5,lonely
6,mile
7,every
8,time
9,keep
10,seein'
11,picture
12,comes
13,baby
14,comes
15,comes
16,surprise
17,another
18,guy
19,comes
20,baby
21,comes
22,walkin'
23,love
24,love
25,that's
26,fine
27,never
28,could
29,mine
30,matter
31,try
32,never
33,walk
34,alone
35,forever
36,talkin'
37,phone
38,i've
39,tried
40,call
41,names
42,every
43,time
44,comes
45,comes
46,baby
47,comes
48,comes
49,surprise
50,another
51,guy
52,comes
53,baby
54,comes
55,walkin'
56,love
57,love
58,that's
59,fine
60,never
61,could
62,mine
63,matter
64,try
65,i'm
66,still
67,waitin'
68,heart
69,cause
70,i'm
71,sure
72,day
73,gonna
74,start
75,mine
76,hold
77,day
78,till
79,say
80,comes
81,baby
82,comes
83,comes
84,surprise
85,another
86,guy
87,comes
88,baby
89,comes
90,walkin'
91,love
92,love
93,that's
94,fine
95,never
96,could
97,mine
98,matter
99,try
100,comes
101,baby
102,comes
103,comes
104,surprise
105,another
106,guy
107,comes
108,baby
