,Lovesong_Adele
0,whenever
1,i'm
2,alone
3,make
4,feel
5,like
6,home
7,whenever
8,i'm
9,alone
10,make
11,feel
12,like
13,whole
14,whenever
15,i'm
16,alone
17,make
18,feel
19,like
20,young
21,whenever
22,i'm
23,alone
24,make
25,feel
26,like
27,fun
28,however
29,far
30,away
31,always
32,love
33,however
34,long
35,stay
36,always
37,love
38,whatever
39,words
40,say
41,always
42,love
43,always
44,love
45,whenever
46,i'm
47,alone
48,make
49,feel
50,like
51,free
52,whenever
53,i'm
54,alone
55,make
56,feel
57,like
58,clean
59,however
60,far
61,away
62,always
63,love
64,however
65,long
66,stay
67,always
68,love
69,whatever
70,words
71,say
72,always
73,love
74,always
75,love
76,however
77,far
78,away
79,always
80,love
81,however
82,long
83,stay
84,always
85,love
86,whatever
87,words
88,say
89,always
90,love
91,i'll
92,always
93,love
94,i'll
95,always
96,love
97,'cause
98,love
99,love
100,love
