,The Girl From Ipanema_Amy Winehouse
0,tall
1,tan
2,young
3,lovely
4,girl
5,ipanema
6,goes
7,walking
8,passes
9,one
10,passes
11,goes
12,laboodudidaa
13,walks
14,like
15,samba
16,swings
17,cool
18,sways
19,gentle
20,passes
21,one
22,passes
23,goes
24,laboodudidaa
25,oh
26,watch
27,sadly
28,tell
29,love
30,yes
31,would
32,give
33,heart
34,gladly
35,day
36,walks
37,sea
38,looks
39,straight
40,ahead
41,tall
42,tan
43,young
44,lovely
45,girl
46,ipanema
47,goes
48,walking
49,passes
50,go
51,girl
52,girl
53,girl
54,ipanema
55,ipanema
56,scat
57,oh
58,want
59,badly
60,tell
61,love
62,yes
63,would
64,give
65,heart
66,gladly
67,day
68,walks
69,sea
70,looks
71,straight
72,ahead
73,tall
74,tan
75,young
76,lovely
77,girl
78,ipanema
79,goes
80,walking
81,passes
82,smile
83,see
84,ain't
85,looking
