,Such Great Heights_The Postal Service
0,thinking
1,sign
2,freckles
3,eyes
4,mirror
5,images
6,kiss
7,they're
8,perfectly
9,aligned
10,speculate
11,god
12,make
13,us
14,corresponding
15,shapes
16,like
17,puzzle
18,pieces
19,clay
20,true
21,may
22,seem
23,like
24,stretch
25,thoughts
26,like
27,catch
28,troubled
29,head
30,away
31,missing
32,death
33,road
34,several
35,weeks
36,shows
37,scan
38,radio
39,hope
40,song
41,guide
42,home
43,see
44,us
45,waving
46,great
47,heights
48,come
49,they'll
50,say
51,everything
52,looks
53,perfect
54,far
55,away
56,come
57,we'll
58,stay
59,tried
60,best
61,leave
62,machine
63,persistent
64,beat
65,sounded
66,thin
67,upon
68,listening
69,frankly
70,fly
71,hear
72,shrillest
73,highs
74,lowest
75,lows
76,windows
77,guiding
78,home
79,see
80,us
81,waving
82,great
83,heights
84,come
85,they'll
86,say
87,everything
88,looks
89,perfect
90,far
91,away
92,come
93,we'll
94,stay
95,see
96,us
97,waving
98,great
99,heights
100,come
101,they'll
102,say
103,everything
104,looks
105,perfect
106,far
107,away
108,come
109,we'll
110,stay
111,see
112,us
113,waving
114,great
115,heights
116,come
117,see
118,us
119,waving
120,great
121,heights
122,come
