,Lovely Rita_The Beatles
0,john
1,lennon
2,george
3,harrison
4,lovely
5,rita
6,meter
7,maid
8,lovely
9,rita
10,meter
11,maid
12,paul
13,mccartney
14,john
15,lennon
16,george
17,harrison
18,lovely
19,rita
20,meter
21,maid
22,nothing
23,come
24,us
25,gets
26,dark
27,tow
28,heart
29,away
30,standing
31,parking
32,meter
33,caught
34,glimpse
35,rita
36,filling
37,ticket
38,little
39,white
40,book
41,cap
42,looked
43,much
44,older
45,bag
46,across
47,shoulder
48,made
49,look
50,little
51,like
52,military
53,man
54,lovely
55,rita
56,meter
57,maid
58,may
59,inquire
60,discreetly
61,lovely
62,rita
63,free
64,take
65,tea
66,lovely
67,rita
68,maid
69,ahhahah
70,rita
71,paul
72,mccartney
73,took
74,tried
75,win
76,laugh
77,dinner
78,told
79,would
80,really
81,like
82,see
83,got
84,bill
85,rita
86,paid
87,took
88,home
89,nearly
90,made
91,sitting
92,sofa
93,sister
94,two
95,oh
96,lovely
97,rita
98,meter
99,maid
100,would
101,without
102,give
103,us
104,wink
105,make
106,think
107,lovely
108,rita
109,meter
110,maid
111,lovely
112,rita
113,meter
114,maid
115,rita
116,meter
117,maid
118,lovely
119,rita
120,meter
121,maid
122,oh
123,lovely
124,rita
125,meter
126,maid
127,lovely
128,rita
129,meter
130,maid
131,ah
132,da
133,ah
134,da
135,ah
136,da
137,ah
138,da
139,ah
140,da
141,ah
142,da
143,ah
144,da
145,ah
146,da
147,ah
148,da
149,ah
150,da
151,ah
152,da
153,ah
154,da
155,ah
156,da
157,ah
158,da
159,ah
160,da
161,ah
162,da
