,Suspicious Minds_Elvis Presley
0,we're
1,caught
2,trap
3,can't
4,walk
5,love
6,much
7,baby
8,can't
9,see
10,believe
11,word
12,say
13,can't
14,go
15,together
16,suspicious
17,minds
18,suspicious
19,minds
20,can't
21,build
22,dreams
23,suspicious
24,minds
25,old
26,friend
27,know
28,stops
29,say
30,hello
31,would
32,still
33,see
34,suspicion
35,eyes
36,go
37,asking
38,i've
39,can't
40,see
41,tears
42,real
43,i'm
44,crying
45,yes
46,i'm
47,crying
48,can't
49,go
50,together
51,suspicious
52,minds
53,suspicious
54,minds
55,can't
56,build
57,dreams
58,suspicious
59,minds
60,oh
61,let
62,love
63,survive
64,i'll
65,dry
66,tears
67,eyes
68,let's
69,let
70,good
71,thing
72,die
73,honey
74,know
75,i've
76,never
77,lied
78,we're
79,caught
80,trap
81,can't
82,walk
83,love
84,much
85,baby
86,can't
87,see
88,believe
89,word
90,say
91,well
92,know
93,i'm
94,caught
95,trap
96,can't
97,walk
98,love
99,much
100,baby
101,well
102,know
103,i'm
104,caught
105,trap
106,can't
107,walk
108,love
109,much
110,baby
111,well
112,know
113,i'm
114,caught
115,trap
116,can't
117,walk
118,love
119,much
120,baby
121,well
122,know
123,i'm
124,caught
125,trap
126,can't
127,walk
128,love
129,much
130,baby
131,well
132,know
133,i'm
134,caught
135,trap
136,can't
137,walk
138,love
139,much
140,baby
