,This Is Love_will.i.am
0,william
1,love
2,like
3,love
4,feel
5,feel
6,inside
7,want
8,like
9,want
10,baby
11,let's
12,get
13,tonight
14,feel
15,say
16,hell
17,yeah
18,hell
19,yeah
20,say
21,hell
22,yeah
23,hell
24,yeah
25,say
26,hell
27,yeah
28,hell
29,yeah
30,love
31,love
32,love
33,posthook
34,eva
35,simons
36,feel
37,love
38,feel
39,love
40,feel
41,love
42,love
43,love
44,love
45,william
46,love
47,beats
48,feel
49,streets
50,love
51,melody
52,notes
53,sheets
54,dope
55,crusader
56,funky
57,terminator
58,created
59,rocket
60,could
61,rock
62,later
63,way
64,beat
65,knocking
66,got
67,feeling
68,alright
69,cause
70,dj
71,got
72,walking
73,ceiling
74,night
75,got
76,rocket
77,globe
78,bomb
79,go
80,fill
81,love
82,watch
83,explode
84,posthook
85,william
86,eva
87,simons
88,love
89,like
90,love
91,feel
92,feel
93,inside
94,want
95,like
96,want
97,baby
98,let's
99,get
100,tonight
101,feel
102,say
103,hell
104,yeah
105,hell
106,yeah
107,say
108,hell
109,yeah
110,hell
111,yeah
112,say
113,hell
114,yeah
115,hell
116,yeah
117,love
118,love
119,love
120,feel
121,love
122,feel
123,love
124,feel
125,love
126,love
127,love
128,love
129,william
130,love
131,bass
132,love
133,treble
134,love
135,orchestra
136,violin
137,cello
138,love
139,computer
140,beats
141,harder
142,metal
143,house
144,beats
145,housing
146,bouncing
147,ghetto
148,sip
149,till
150,smashed
151,feeling
152,alright
153,rock
154,ghetto
155,blaster
156,rocking
157,night
158,sent
159,rocket
160,globe
161,bomb
162,go
163,fill
164,love
165,watch
166,explode
167,eh
168,baby
169,yeah
170,alright
171,feel
172,good
173,god
174,yeah
175,alright
176,postchorus
177,eva
178,simons
179,feel
180,love
181,feel
182,love
183,feel
184,love
185,love
186,love
187,love
188,eva
189,simons
190,love
191,love
192,love
193,love
194,love
195,love
196,love
197,love
198,love
199,love
200,love
201,love
202,feel
203,love
204,feel
205,love
206,feel
207,love
208,feel
209,love
210,feel
211,love
212,feel
213,love
214,feel
215,love
216,feel
217,love
