,When It Rains_Paramore
0,rains
1,side
2,town
3,touches
4,everything
5,say
6,mean
7,miss
8,thing
9,prechorus
10,made
11,bed
12,bottom
13,blackest
14,hole
15,blackest
16,hole
17,convinced
18,reason
19,see
20,sun
21,anymore
22,oh
23,oh
24,could
25,oh
26,never
27,saw
28,coming
29,oh
30,oh
31,need
32,ending
33,can't
34,stay
35,long
36,enough
37,explain
38,rains
39,always
40,find
41,escape
42,running
43,away
44,ones
45,love
46,everything
47,prechorus
48,made
49,bed
50,bottom
51,blackest
52,hole
53,blackest
54,hole
55,sleep
56,till
57,may
58,say
59,wanna
60,see
61,sun
62,anymore
63,oh
64,oh
65,could
66,oh
67,never
68,saw
69,coming
70,oh
71,oh
72,need
73,ending
74,can't
75,stay
76,long
77,enough
78,explain
79,take
80,time
81,take
82,time
83,take
84,chances
85,turn
86,around
87,let's
88,take
89,chances
90,we'll
91,make
92,somehow
93,take
94,chances
95,turn
96,around
97,turn
98,around
99,breakdown
100,oh
101,could
102,oh
103,never
104,saw
105,coming
106,oh
107,oh
108,could
109,oh
110,never
111,saw
112,coming
113,oh
114,could
115,oh
116,never
117,saw
118,coming
119,oh
120,oh
121,need
122,ending
123,can't
124,stay
125,long
126,enough
127,explain
128,take
129,time
130,take
131,time
