,Where I Wanna Be_Donell Jones
0,left
1,baby
2,girl
3,message
4,sayin'
5,coming
6,home
7,i'd
8,rather
9,alone
10,fully
11,understand
12,cause
13,i'd
14,rather
15,leave
16,cheat
17,gives
18,time
19,man
20,needs
21,there's
22,lot
23,lust
24,inside
25,we've
26,together
27,since
28,teenage
29,years
30,really
31,mean
32,hurt
33,need
34,time
35,alone
36,love
37,someone
38,treat
39,bad
40,oh
41,feel
42,sad
43,wanna
44,leave
45,crying
46,heart
47,could
48,let
49,need
50,time
51,see
52,wanna
53,wanna
54,sweet
55,little
56,deedodeedee
57,mean
58,hurt
59,baby
60,oh
61,never
62,imagine
63,would
64,play
65,major
66,part
67,decision
68,that's
69,hard
70,leave
71,stay
72,go
73,think
74,life
75,matters
76,girl
77,love
78,share
79,real
80,time
81,heart
82,heal
83,i'm
84,saying
85,i'm
86,gone
87,find
88,life
89,like
90,without
91,love
92,someone
93,treat
94,bad
95,oh
96,feel
97,sad
98,wanna
99,leave
100,crying
101,heart
102,could
103,let
104,need
105,time
106,see
107,wanna
108,wanna
109,sweet
110,little
111,deedodeedee
112,mean
113,hurt
114,baby
115,see
116,love
117,someone
118,treat
119,bad
120,oh
121,feel
122,sad
123,wanna
124,leave
125,crying
126,heart
127,could
128,let
129,need
130,time
131,see
132,wanna
133,see
134,love
135,someone
136,treat
137,bad
138,oh
139,feel
140,sad
141,wanna
142,leave
143,crying
144,heart
145,could
146,let
147,need
148,time
149,see
150,wanna
151,see
152,love
153,someone
154,treat
155,bad
156,oh
157,feel
158,sad
159,wanna
160,leave
161,crying
162,heart
163,could
164,let
165,need
166,time
167,see
168,wanna
169,wanna
170,spoken
171,i'm
172,sorry
173,baby
