,(Everything I Do) I Do It for You_Bryan Adams
0,look
1,eyes
2,see
3,mean
4,search
5,heart
6,search
7,soul
8,find
9,search
10,tell
11,worth
12,tryin'
13,can't
14,tell
15,worth
16,dyin'
17,know
18,true
19,everything
20,look
21,heart
22,find
23,there's
24,nothin'
25,hide
26,take
27,take
28,life
29,would
30,give
31,would
32,sacrifice
33,tell
34,worth
35,fightin'
36,can't
37,help
38,there's
39,nothin'
40,want
41,know
42,true
43,everything
44,there's
45,love
46,like
47,love
48,could
49,give
50,love
51,there's
52,nowhere
53,unless
54,time
55,way
56,yeah
57,interlude
58,look
59,heart
60,babe
61,yeah
62,oh
63,yeah
64,oh
65,can't
66,tell
67,worth
68,tryin'
69,can't
70,help
71,there's
72,nothin'
73,want
74,yeah
75,would
76,fight
77,i'd
78,lie
79,walk
80,wire
81,yeah
82,i'd
83,die
84,know
85,true
86,everything
87,oh
88,everything
89,darling
90,we'll
91,see
92,see
93,oh
94,yeah
95,yeah
96,search
97,heart
98,search
99,soul
100,can't
101,tell
102,ain't
103,worth
104,dying
105,oh
106,yeah
107,i'll
108,yeah
109,oh
110,i'll
111,walk
112,wire
113,yeah
114,die
115,oh
116,yeah
117,time
118,i'm
119,going
120,way
121,way
122,yeah
123,take
124,hand
125,ow
