,Just a Kiss_Lady Antebellum
0,lyin'
1,close
2,hard
3,fight
4,feelings
5,feels
6,hard
7,breathe
8,i'm
9,caught
10,moment
11,i'm
12,caught
13,smile
14,i've
15,never
16,opened
17,anyone
18,hard
19,hold
20,back
21,i'm
22,holding
23,arms
24,need
25,rush
26,let's
27,take
28,slow
29,kiss
30,lips
31,moonlight
32,touch
33,fire
34,burning
35,bright
36,wanna
37,mess
38,thing
39,wanna
40,push
41,far
42,shot
43,dark
44,might
45,one
46,i've
47,waiting
48,whole
49,life
50,baby
51,i'm
52,alright
53,kiss
54,goodnight
55,know
56,give
57,little
58,time
59,it'll
60,bring
61,us
62,closer
63,love
64,wanna
65,find
66,never
67,felt
68,real
69,never
70,felt
71,right
72,kiss
73,lips
74,moonlight
75,touch
76,fire
77,burning
78,bright
79,wanna
80,mess
81,thing
82,wanna
83,push
84,far
85,shot
86,dark
87,might
88,one
89,i've
90,waiting
91,whole
92,life
93,baby
94,i'm
95,alright
96,kiss
97,goodnight
98,wanna
99,say
100,goodnight
101,know
102,time
103,leave
104,dreams
105,tonight
106,tonight
107,tonight
108,kiss
109,lips
110,moonlight
111,touch
112,fire
113,burning
114,bright
115,wanna
116,mess
117,thing
118,wanna
119,push
120,far
121,shot
122,dark
123,might
124,one
125,i've
126,waiting
127,whole
128,life
129,baby
130,i'm
131,alright
132,oh
133,let's
134,right
135,kiss
136,goodnight
137,kiss
138,goodnight
139,kiss
140,goodnight
