,Hero_Mariah Carey
0,there's
1,hero
2,look
3,inside
4,heart
5,afraid
6,there’s
7,answer
8,reach
9,soul
10,sorrow
11,know
12,melt
13,away
14,hero
15,comes
16,along
17,strength
18,carry
19,cast
20,fears
21,aside
22,know
23,survive
24,feel
25,like
26,hope
27,gone
28,look
29,inside
30,strong
31,finally
32,see
33,truth
34,hero
35,lies
36,long
37,road
38,face
39,world
40,alone
41,one
42,reaches
43,hand
44,hold
45,find
46,love
47,search
48,within
49,emptiness
50,felt
51,disappear
52,hero
53,comes
54,along
55,strength
56,carry
57,cast
58,fears
59,aside
60,know
61,survive
62,feel
63,like
64,hope
65,gone
66,look
67,inside
68,strong
69,finally
70,see
71,truth
72,hero
73,lies
74,lord
75,knows
76,dreams
77,hard
78,follow
79,let
80,anyone
81,tear
82,away
83,hold
84,tomorrow
85,time
86,find
87,way
88,hero
89,comes
90,along
91,strength
92,carry
93,cast
94,fears
95,aside
96,know
97,survive
98,feel
99,like
100,hope
101,gone
102,look
103,inside
104,strong
105,finally
106,see
107,truth
108,hero
109,lies
110,hero
111,lies
112,hero
113,lies
