,Ex-Factor_Lauryn Hill
0,yo
1,yyo
2,yo
3,yyo
4,yo
5,uh
6,yo
7,yyo
8,yo
9,yyo
10,could
11,simple
12,bababababy
13,baby
14,baby
15,rather
16,make
17,hard
18,huh
19,uh
20,loving
21,like
22,battle
23,like
24,battle
25,end
26,scars
27,prechorus
28,tell
29,get
30,reciprocity
31,see
32,one
33,loves
34,one
35,ever
36,one
37,ever
38,yeah
39,silly
40,game
41,silly
42,game
43,forces
44,act
45,way
46,act
47,way
48,forces
49,scream
50,name
51,pretend
52,can't
53,stay
54,yeah
55,prechorus
56,tell
57,know
58,gotta
59,get
60,reciprocity
61,see
62,one
63,loves
64,one
65,ever
66,matter
67,think
68,grow
69,always
70,seem
71,let
72,know
73,ain't
74,working
75,ain't
76,working
77,ain't
78,working
79,try
80,walk
81,away
82,hurt
83,make
84,stay
85,crazy
86,crazy
87,oh
88,crazy
89,uhhuh
90,keep
91,letting
92,back
93,back
94,explain
95,understand
96,painful
97,thing
98,can't
99,one
100,else
101,prechorus
102,see
103,know
104,we've
105,got
106,yeah
107,let
108,go
109,let
110,go
111,i'll
112,let
113,go
114,i'll
115,let
116,go
117,cause
118,one's
119,hurt
120,one's
121,hurt
122,one
123,ever
124,matter
125,think
126,grow
127,always
128,seem
129,let
130,know
131,ain't
132,working
133,ain't
134,working
135,ain't
136,working
137,ain't
138,working
139,try
140,walk
141,away
142,hurt
143,make
144,stay
145,crazy
146,crazy
147,oh
148,crazy
149,crazy
150,breakdown
151,care
152,care
153,care
154,know
155,care
156,said
157,cry
158,cry
159,cry
160,said
161,die
162,give
163,give
164,give
165,live
166,care
167,care
168,care
169,said
170,care
171,said
172,cry
173,cry
174,cry
175,said
176,die
177,give
178,give
179,give
180,live
181,care
182,care
183,care
184,said
185,care
186,said
187,cry
188,cry
189,cry
190,said
191,die
192,give
193,give
194,give
195,live
196,care
197,care
198,care
199,said
200,care
201,said
202,cry
203,give
204,give
205,live
206,give
207,cry
208,cry
209,said
210,die
211,care
212,cry
213,give
214,needed
215,care
216,cry
217,give
218,guitar
219,solo
220,da
221,da
222,da
223,dda
224,dda
225,da
226,da
227,da
228,dda
229,dda
230,needed
231,da
232,da
233,da
234,dda
235,dda
236,da
237,da
238,da
239,dda
240,dda
241,da
242,da
243,da
244,dda
245,dda
246,da
247,da
248,da
249,dda
250,dda
251,da
252,da
253,da
254,dda
255,dda
256,da
257,da
258,da
259,dda
260,dda
261,da
262,da
263,da
264,dda
265,dda
266,da
267,da
268,da
269,dda
270,dda
271,da
272,da
273,da
274,dda
275,dda
276,da
277,da
278,da
279,dda
280,dda
