,Fix You_Coldplay
0,chris
1,martin
2,try
3,best
4,succeed
5,get
6,want
7,need
8,feel
9,tired
10,can't
11,sleep
12,stuck
13,reverse
14,tears
15,come
16,streaming
17,face
18,lose
19,something
20,can't
21,replace
22,love
23,someone
24,goes
25,waste
26,could
27,worse
28,chris
29,chris
30,lights
31,guide
32,home
33,ignite
34,bones
35,try
36,fix
37,chris
38,martin
39,high
40,love
41,let
42,go
43,never
44,try
45,never
46,know
47,worth
48,chris
49,chris
50,lights
51,guide
52,home
53,ignite
54,bones
55,try
56,fix
57,instrumental
58,chris
59,jonny
60,guy
61,tears
62,stream
63,face
64,lose
65,something
66,cannot
67,replace
68,tears
69,stream
70,face
71,breakdown
72,chris
73,jonny
74,guy
75,tears
76,stream
77,face
78,promise
79,learn
80,mistakes
81,tears
82,stream
83,face
84,chris
85,martin
86,lights
87,guide
88,home
89,ignite
90,bones
91,try
92,fix
