,Hanging by a Moment_Lifehouse
0,desperate
1,changing
2,starving
3,truth
4,i'm
5,closer
6,started
7,i'm
8,chasing
9,i'm
10,falling
11,even
12,love
13,letting
14,go
15,i've
16,held
17,onto
18,i'm
19,standing
20,make
21,move
22,i'm
23,hanging
24,moment
25,forgetting
26,i'm
27,lacking
28,completely
29,incomplete
30,i'll
31,take
32,invitation
33,take
34,i'm
35,falling
36,even
37,love
38,letting
39,go
40,i've
41,held
42,onto
43,i'm
44,standing
45,make
46,move
47,i'm
48,hanging
49,moment
50,i'm
51,living
52,thing
53,know
54,i'm
55,running
56,quite
57,sure
58,go
59,know
60,i'm
61,diving
62,hanging
63,moment
64,there's
65,nothing
66,else
67,lose
68,there's
69,nothing
70,else
71,find
72,there's
73,nothing
74,world
75,change
76,mind
77,nothing
78,else
79,nothing
80,else
81,nothing
82,else
83,desperate
84,changing
85,starving
86,truth
87,i'm
88,closer
89,started
90,i'm
91,chasing
92,i'm
93,falling
94,even
95,love
96,letting
97,go
98,i've
99,held
100,onto
101,i'm
102,standing
103,make
104,move
105,i'm
106,hanging
107,moment
108,i'm
109,living
110,thing
111,know
112,i'm
113,running
114,quite
115,sure
116,go
117,know
118,i'm
119,diving
120,hanging
121,moment
122,hanging
123,moment
124,hanging
125,moment
126,hanging
127,moment
128,hanging
129,moment
