,Right Action_Franz Ferdinand
0,come
1,home
2,practically
3,nearly
4,forgiven
5,right
6,thoughts
7,right
8,words
9,right
10,action
11,almost
12,everything
13,could
14,forgotten
15,right
16,thoughts
17,right
18,words
19,right
20,action
21,leave
22,saturday
23,night
24,sunday
25,morning
26,good
27,morning
28,sometimes
29,wish
30,weather
31,permitting
32,right
33,thoughts
34,right
35,words
36,right
37,action
38,time
39,i'll
40,love
41,forever
42,right
43,thoughts
44,right
45,words
46,right
47,action
48,chalcot
49,gardens
50,england’s
51,lane
52,hampstead
53,london
54,sometimes
55,wish
56,weather
57,permitting
58,right
59,thoughts
60,right
61,words
62,right
63,action
64,right
65,thoughts
66,right
67,words
68,right
69,action
70,right
71,thoughts
72,right
73,words
74,right
75,action
76,right
77,thoughts
78,right
79,words
80,right
81,action
