,End of the Road_Boyz II Men
0,mike
1,girl
2,know
3,belong
4,together
5,time
6,playing
7,heart
8,like
9,mine
10,forever
11,baby
12,see
13,nathan
14,belong
15,together
16,know
17,i'm
18,right
19,play
20,heart
21,play
22,mind
23,said
24,we'd
25,forever
26,said
27,it'd
28,never
29,die
30,could
31,love
32,leave
33,never
34,say
35,goodbye
36,prechorus
37,wanya
38,can't
39,sleep
40,night
41,without
42,holding
43,tight
44,girl
45,time
46,try
47,break
48,cry
49,pain
50,head
51,oh
52,i'd
53,rather
54,dead
55,spinnin'
56,around
57,around
58,although
59,we've
60,come
61,end
62,road
63,still
64,can't
65,let
66,go
67,unnatural
68,belong
69,belong
70,come
71,end
72,road
73,still
74,can't
75,let
76,go
77,unnatural
78,belong
79,belong
80,shawn
81,girl
82,know
83,really
84,love
85,realize
86,never
87,first
88,time
89,maybe
90,i'll
91,forgive
92,hmm
93,maybe
94,try
95,happy
96,together
97,forever
98,prechorus
99,wanya
100,love
101,like
102,loved
103,time
104,want
105,love
106,much
107,time
108,instead
109,come
110,bed
111,baby
112,let
113,let
114,wanya
115,although
116,we've
117,come
118,end
119,road
120,end
121,road
122,still
123,can't
124,let
125,go
126,end
127,road
128,know
129,can't
130,let
131,go
132,baby
133,unnatural
134,belong
135,belong
136,know
137,i'm
138,gonna
139,come
140,end
141,road
142,know
143,i'm
144,gonna
145,'cause
146,know
147,i've
148,come
149,end
150,road
151,end
152,road
153,still
154,can't
155,let
156,go
157,oh
158,god
159,oh
160,god
161,help
162,little
163,bit
164,baby
165,unnatural
166,belong
167,belong
168,interlude
169,mike
170,shawn
171,girl
172,i'm
173,times
174,night
175,hurt
176,ran
177,fella
178,baby
179,knew
180,care
181,understand
182,much
183,love
184,i'm
185,i'm
186,go
187,cheat
188,night
189,baby
190,i'm
191,baby
192,like
193,baby
194,that's
195,right
196,baby
197,tried
198,hey
199,love
200,anyway
201,i'm
202,still
203,gonna
204,'till
205,dying
206,day
207,baby
208,happy
209,together
210,forever
211,right
212,i'm
213,much
214,pain
215,baby
216,’cause
217,come
218,back
219,come
220,back
221,interlude
222,mike
223,lonely
224,yes
225,baby
226,heart
227,lonely
228,lonely
229,heart
230,hurts
231,baby
232,lonely
233,yes
234,feel
235,pain
236,baby
237,please
238,prechorus
239,wanya
240,time
241,instead
242,come
243,bed
244,baby
245,let
246,go
247,wanya
248,although
249,we've
250,come
251,end
252,road
253,we've
254,come
255,end
256,road
257,still
258,can't
259,let
260,go
261,know
262,can't
263,let
264,go
265,unnatural
266,belong
267,belong
268,know
269,i'm
270,going
271,come
272,end
273,road
274,know
275,i'm
276,gonna
277,'cause
278,know
279,i've
280,come
281,end
282,road
283,end
284,road
285,still
286,can't
287,let
288,go
289,oh
290,god
291,oh
292,god
293,help
294,little
295,bit
296,baby
297,unnatural
298,baby
299,belong
300,baby
301,belong
302,although
303,we've
304,come
305,end
306,road
307,still
308,can't
309,let
310,go
311,unnatural
312,belong
313,belong
314,come
315,end
316,road
317,we've
318,come
319,end
320,road
321,still
322,can't
323,let
324,go
325,know
326,can't
327,let
328,go
329,unnatural
330,belong
331,belong
