,Give in to Me_Michael Jackson
0,always
1,takes
2,heart
3,stone
4,'cause
5,throws
6,back
7,i've
8,spent
9,lifetime
10,looking
11,someone
12,try
13,understand
14,simply
15,things
16,say
17,love
18,feeling
19,give
20,want
21,'cause
22,i'm
23,fire
24,quench
25,desire
26,give
27,want
28,talk
29,woman
30,give
31,give
32,always
33,knew
34,make
35,cry
36,never
37,ask
38,questions
39,seems
40,get
41,kicks
42,hurting
43,try
44,understand
45,words
46,enough
47,love
48,feeling
49,quench
50,desire
51,give
52,want
53,taking
54,higher
55,love
56,woman
57,wanna
58,hear
59,give
60,give
61,friends
62,laughing
63,town
64,okay
65,okay
66,laughing
67,girl
68,i'm
69,around
70,i'll
71,okay
72,i'd
73,i'd
74,never
75,find
76,better
77,peace
78,mind
79,guitar
80,solo
81,prechorus
82,try
83,tell
84,words
85,enough
86,love
87,feeling
88,quench
89,desire
90,give
91,want
92,taking
93,higher
94,talk
95,woman
96,love
97,feeling
98,give
99,give
100,give
101,oh
102,love
103,feeling
104,wanna
105,hear
106,quench
107,desire
108,taking
109,higher
110,tell
111,preacher
112,satisfy
113,feeling
114,give
115,give
116,guitar
117,solo
118,wanna
119,wanna
120,wanna
121,hear
122,give
123,fire
124,talk
125,woman
126,quench
127,desire
128,i'd
129,like
130,lady
131,talk
132,baby
133,give
134,give
135,fire
136,give
137,give
138,give
139,love
140,woman
141,give
142,give
143,give
144,give
145,'cause
146,i'm
147,fire
148,talk
149,woman
150,quench
151,desire
152,give
153,feeling
