,Checkmarks_The Academy Is...
0,stand
1,far
2,remember
3,half
4,bad
5,bedroom
6,behavior
7,never
8,checkmarks
9,bedposts
10,remember
11,never
12,prechorus
13,get
14,rain
15,get
16,clothes
17,hope
18,make
19,sound
20,hope
21,nobody
22,knows
23,get
24,rain
25,get
26,clothes
27,hope
28,make
29,sound
30,hope
31,one
32,suck
33,socalled
34,pity
35,bad
36,take
37,cold
38,cold
39,heart
40,drown
41,forget
42,take
43,deep
44,breaths
45,suck
46,socalled
47,pity
48,bad
49,take
50,cold
51,cold
52,heart
53,drown
54,forget
55,take
56,deep
57,breaths
58,explain
59,'cause
60,know
61,exactly
62,going
63,say
64,big
65,words
66,recycled
67,phrases
68,bittersweet
69,taste
70,boys
71,lips
72,sit
73,talk
74,wanted
75,sit
76,talk
77,wanted
78,wanted
79,prechorus
80,get
81,rain
82,get
83,clothes
84,hope
85,make
86,sound
87,hope
88,nobody
89,knows
90,suck
91,socalled
92,pity
93,bad
94,take
95,cold
96,cold
97,heart
98,drown
99,forget
100,take
101,deep
102,breaths
103,suck
104,socalled
105,pity
106,bad
107,take
108,cold
109,cold
110,heart
111,drown
112,forget
113,take
114,deep
115,breaths
116,miss
117,looking
118,floor
119,face
120,stage
121,crowded
122,room
123,well
124,bet
125,still
126,sucker
127,famous
128,faces
129,downtown
130,looking
131,looking
132,crowd
133,hope
134,look
135,well
136,look
137,we've
138,changed
139,suck
140,socalled
141,pity
142,bad
143,take
144,cold
145,cold
146,heart
147,drown
148,forget
149,take
150,deep
151,breaths
152,suck
153,socalled
154,pity
155,bad
156,take
157,cold
158,cold
159,heart
160,drown
161,forget
162,take
163,deep
164,breaths
