,We All Want Love_Rihanna
0,pretend
1,i'm
2,lonely
3,i'll
4,constantly
5,fooling
6,pretend
7,matter
8,i'll
9,sitting
10,lying
11,say
12,love
13,ain't
14,worth
15,buck
16,i'll
17,give
18,every
19,dime
20,left
21,i've
22,dreaming
23,prechorus
24,everybody
25,wants
26,something
27,gotta
28,want
29,something
30,living
31,everybody
32,needs
33,something
34,fighting
35,something
36,know
37,fighting
38,'cause
39,want
40,someone
41,hold
42,want
43,somebody
44,wanna
45,somebody's
46,one
47,wanna
48,warm
49,it’s
50,cold
51,yeah
52,yeah
53,yeah
54,one
55,wants
56,left
57,scared
58,lonely
59,want
60,thing
61,want
62,thing
63,want
64,thing
65,everybody
66,wants
67,something
68,gotta
69,want
70,something
71,yeah
72,yeah
73,want
74,love
75,i'm
76,able
77,close
78,eyes
79,yet
80,heart's
81,blind
82,feel
83,entitled
84,love
85,owes
86,want
87,what's
88,mine
89,say
90,love
91,ain't
92,worth
93,buck
94,i'll
95,give
96,last
97,dime
98,i've
99,dreaming
100,prechorus
101,everybody
102,wants
103,something
104,gotta
105,want
106,something
107,living
108,everybody
109,needs
110,something
111,fighting
112,something
113,know
114,fighting
115,'cause
116,want
117,someone
118,hold
119,want
120,somebody
121,wanna
122,somebody's
123,one
124,wanna
125,warm
126,it’s
127,cold
128,yeah
129,yeah
130,yeah
131,one
132,wants
133,left
134,scared
135,lonely
136,want
137,thing
138,want
139,thing
140,want
141,thing
142,everybody
143,wants
144,something
145,gotta
146,want
147,something
148,yeah
149,yeah
150,want
151,love
152,yeah
153,yeah
154,want
155,love
