,Volcano_Damien Rice
0,damien
1,rice
2,hold
3,like
4,hurt
5,knees
6,well
7,kissed
8,mouth
9,back
10,that's
11,need
12,build
13,world
14,around
15,volcanoes
16,melt
17,damien
18,rice
19,lisa
20,hannigan
21,real
22,need
23,mean
24,give
25,miles
26,miles
27,mountains
28,i'll
29,ask
30,sea
31,lisa
32,hannigan
33,throw
34,like
35,front
36,kissed
37,mouth
38,back
39,need
40,drag
41,love
42,around
43,volcanoes
44,melt
45,damien
46,rice
47,lisa
48,hannigan
49,real
50,need
51,mean
52,give
53,miles
54,miles
55,mountains
56,i'll
57,ask
58,damien
59,rice
60,give
61,i'm
62,going
63,nothing
64,new
65,another
66,phase
67,finding
68,really
69,need
70,makes
71,bleed
72,like
73,new
74,disease
75,lord
76,still
77,young
78,treat
79,oh
80,still
81,young
82,volcanoes
83,melt
84,real
85,still
86,young
87,oh
88,still
89,young
90,volcanoes
91,melt
92,need
93,still
94,young
95,oh
96,still
97,young
98,volcanoes
99,melt
100,real
101,still
102,young
103,oh
104,still
105,young
106,volcanoes
107,melt
108,need
109,still
110,young
111,oh
112,still
113,young
114,volcanoes
115,melt
116,real
117,still
118,young
119,oh
120,still
121,young
122,volcanoes
123,melt
124,need
125,still
126,young
127,oh
128,still
129,young
130,volcanoes
131,melt
132,real
133,still
134,young
135,oh
136,still
137,young
138,volcanoes
139,melt
140,need
141,still
142,young
143,oh
144,still
145,young
146,kissed
147,mouth
148,volcanoes
149,melt
150,real
151,still
152,young
153,oh
154,still
155,young
156,kissed
157,mouth
158,volcanoes
159,melt
160,need
161,still
162,young
163,oh
164,still
165,young
166,kissed
167,mouth
168,volcanoes
169,melt
170,real
171,still
172,young
173,oh
174,still
175,young
176,kissed
177,mouth
178,volcanoes
179,melt
180,need
181,still
182,young
183,need
