,After Tonight_Justin Nozuka
0,there's
1,something
2,eyes
3,everything
4,alright
5,look
6,sky
7,long
8,something
9,darlin'
10,give
11,right
12,hand
13,think
14,understand
15,follow
16,never
17,wish
18,know
19,tonight
20,look
21,stars
22,know
23,end
24,tonight
25,look
26,stars
27,know
28,love
29,alright
30,look
31,stars
32,know
33,end
34,tonight
35,look
36,stars
37,tell
38,feel
39,i'm
40,getting
41,near
42,i'll
43,tell
44,steer
45,tell
46,steer
47,ddddarlin'
48,way
49,clouds
50,high
51,stars
52,unknown
53,black
54,holes
55,one
56,knows
57,we'll
58,return
59,earth
60,cause
61,know
62,tonight
63,look
64,stars
65,know
66,end
67,tonight
68,look
69,stars
70,know
71,love
72,alright
73,look
74,stars
75,know
76,end
77,tonight
78,look
79,stars
80,come
81,away
82,come
83,fly
84,away
85,one
86,night
87,one
88,ever
89,know
90,darlin'
91,leave
92,satisfied
93,forever
94,past
95,time
96,hide
97,free
98,fly
99,know
100,tonight
101,look
102,stars
103,know
104,end
105,tonight
106,look
107,stars
108,know
109,love
110,alright
111,look
112,stars
113,know
114,end
115,tonight
116,look
117,stars
118,said
119,know
120,tonight
121,look
122,stars
123,know
124,end
125,tonight
126,look
127,stars
128,know
129,love
130,alright
131,look
132,stars
133,know
134,end
135,tonight
136,looking
137,upon
138,heaven
