,Always Remember Us This Way_Lady Gaga
0,arizona
1,sky
2,burnin'
3,eyes
4,look
5,babe
6,wanna
7,catch
8,fire
9,it’s
10,buried
11,soul
12,like
13,california
14,gold
15,found
16,light
17,couldn’t
18,find
19,i'm
20,choked
21,can't
22,find
23,words
24,every
25,time
26,say
27,goodbye
28,baby
29,hurts
30,sun
31,goes
32,band
33,play
34,i'll
35,always
36,remember
37,us
38,way
39,lovers
40,night
41,poets
42,tryna
43,write
44,know
45,rhyme
46,damn
47,try
48,really
49,know
50,wanna
51,go
52,part
53,that's
54,never
55,die
56,i'm
57,choked
58,can't
59,find
60,words
61,every
62,time
63,say
64,goodbye
65,baby
66,hurts
67,sun
68,goes
69,band
70,play
71,i'll
72,always
73,remember
74,us
75,way
76,oh
77,yeah
78,wanna
79,memory
80,baby
81,yeah
82,hoo
83,hoo
84,hoo
85,hoo
86,hoo
87,hoo
88,hoo
89,hoo
90,hoo
91,hoo
92,hoo
93,hoo
94,hoo
95,hoo
96,hoo
97,hoo
98,hoo
99,hoo
100,hooooooooo
101,i'm
102,choked
103,can't
104,find
105,words
106,every
107,time
108,say
109,goodbye
110,baby
111,hurts
112,sun
113,goes
114,band
115,play
116,i'll
117,always
118,remember
119,us
120,way
121,way
122,yeah
123,look
124,whole
125,world
126,fades
127,i'll
128,always
129,remember
130,us
131,way
132,oooh
133,oooh
134,hmmmm
135,oooh
136,oooh
137,hmmmm
