,Just The Way You Are_Billy Joel
0,go
1,changing
2,try
3,please
4,never
5,let
6,imagine
7,familiar
8,see
9,anymore
10,refrain
11,would
12,leave
13,times
14,trouble
15,never
16,could
17,come
18,far
19,took
20,good
21,times
22,i'll
23,take
24,bad
25,times
26,i'll
27,take
28,way
29,go
30,trying
31,new
32,fashion
33,change
34,color
35,hair
36,always
37,unspoken
38,passion
39,although
40,might
41,seem
42,care
43,refrain
44,want
45,clever
46,conversation
47,never
48,want
49,work
50,hard
51,want
52,someone
53,talk
54,want
55,way
56,need
57,know
58,always
59,old
60,someone
61,knew
62,take
63,till
64,believe
65,way
66,believe
67,refrain
68,said
69,love
70,that's
71,forever
72,promise
73,heart
74,could
75,love
76,better
77,love
78,way
79,saxophone
80,solo
81,refrain
82,want
83,clever
84,conversation
85,never
86,want
87,work
88,hard
89,want
90,someone
91,talk
92,want
93,way
