,Here's To The Night_EVE 6
0,denied
1,lied
2,never
3,kind
4,day
5,day
6,love
7,i'm
8,gonna
9,gone
10,good
11,willing
12,cool
13,tonight
14,here's
15,toast
16,hear
17,well
18,here's
19,nights
20,felt
21,alive
22,here's
23,tears
24,knew
25,cry
26,here's
27,goodbye
28,tomorrow's
29,gonna
30,come
31,soon
32,put
33,name
34,line
35,along
36,place
37,time
38,wanna
39,stay
40,go
41,wanna
42,ditch
43,logical
44,prechorus
45,here's
46,toast
47,hear
48,well
49,here's
50,nights
51,felt
52,alive
53,here's
54,tears
55,knew
56,cry
57,here's
58,goodbye
59,tomorrow's
60,gonna
61,come
62,soon
63,time
64,froze
65,motion
66,can't
67,stay
68,hour
69,two
70,let
71,let
72,go
73,let
74,let
75,go
76,prechorus
77,here's
78,toast
79,hear
80,well
81,here's
82,nights
83,felt
84,alive
85,here's
86,tears
87,knew
88,cry
89,here's
90,good
91,bye
92,tomorrow's
93,gonna
94,come
95,soon
96,soon
97,here's
98,nights
99,felt
100,alive
101,here's
102,tears
103,knew
104,cry
105,here's
106,good
107,bye
108,tomorrow's
109,gonna
110,come
111,soon
