,Shine_Years & Years
0,remember
1,us
2,alone
3,waiting
4,light
5,go
6,feel
7,hunger
8,i've
9,got
10,many
11,secrets
12,show
13,saw
14,stage
15,shivered
16,look
17,gave
18,hear
19,rhythm
20,show
21,escape
22,prechorus
23,biting
24,tongue
25,trying
26,hide
27,i'll
28,forget
29,i've
30,done
31,redefined
32,shaking
33,sky
34,i'm
35,following
36,lightning
37,i'll
38,recover
39,keep
40,alight
41,leave
42,behind
43,see
44,i'm
45,shining
46,i've
47,waiting
48,find
49,postchorus
50,i'm
51,holding
52,tonight
53,unfolding
54,tonight
55,know
56,make
57,shine
58,i've
59,waiting
60,find
61,i'm
62,holding
63,tonight
64,unfolding
65,tonight
66,know
67,make
68,shine
69,i've
70,waiting
71,find
72,hear
73,sound
74,hold
75,pull
76,raise
77,everything
78,ground
79,everything
80,arrange
81,every
82,part
83,change
84,hold
85,together
86,tell
87,always
88,want
89,stay
90,prechorus
91,biting
92,tongue
93,trying
94,hide
95,i'll
96,forget
97,i've
98,done
99,redefined
100,shaking
101,sky
102,i'm
103,following
104,lightning
105,i'll
106,recover
107,keep
108,alight
109,leave
110,behind
111,see
112,i'm
113,shining
114,i've
115,waiting
116,find
117,wanna
118,one
119,steal
120,wanna
121,one
122,shield
123,wanna
124,one
125,love
126,love
127,heal
128,wanna
129,one
130,steal
131,wanna
132,one
133,shield
134,wanna
135,one
136,love
137,love
138,shaking
139,sky
140,i'm
141,following
142,lightning
143,i'll
144,recover
145,keep
146,alight
147,leave
148,behind
149,see
150,i'm
151,shining
152,i've
153,waiting
154,find
155,postchorus
156,i'm
157,holding
158,tonight
159,unfolding
160,tonight
161,know
162,make
163,shine
164,i've
165,waiting
166,find
167,i'm
168,holding
169,tonight
170,unfolding
171,tonight
172,know
173,make
174,shine
175,i've
176,waiting
177,find
178,i've
179,waiting
180,find
181,i've
182,waiting
183,find
184,i've
185,waiting
186,find
