,When The Stars Go Blue_Ryan Adams
0,dancing
1,stars
2,go
3,blue
4,dancing
5,evening
6,fell
7,dancing
8,wooden
9,shoes
10,wedding
11,gown
12,dancing
13,7th
14,street
15,dancing
16,underground
17,dancing
18,little
19,marionette
20,happy
21,go
22,lonely
23,go
24,blue
25,go
26,lonely
27,i'll
28,follow
29,stars
30,go
31,blue
32,stars
33,go
34,blue
35,stars
36,go
37,blue
38,stars
39,go
40,blue
41,laughing
42,pretty
43,mouth
44,laughing
45,broken
46,eyes
47,laughing
48,lover's
49,tongue
50,lullaby
51,go
52,lonely
53,go
54,blue
55,go
56,lonely
57,i'll
58,follow
59,stars
60,go
61,blue
62,stars
63,go
64,blue
65,stars
66,go
67,blue
68,stars
69,go
70,blue
