,Turn Your Lights Down Low_Bob Marley & The Wailers
0,turn
1,lights
2,low
3,pull
4,window
5,curtains
6,oh
7,let
8,jah
9,moon
10,come
11,shining
12,life
13,saying
14,ooh
15,long
16,long
17,time
18,long
19,long
20,time
21,got
22,message
23,girl
24,seems
25,never
26,time
27,still
28,gotta
29,get
30,girl
31,time
32,time
33,word
34,want
35,give
36,love
37,want
38,give
39,good
40,good
41,loving
42,uh
43,uh
44,right
45,uh
46,oh
47,oh
48,oh
49,yeah
50,want
51,give
52,good
53,good
54,loving
55,uh
56,turn
57,lights
58,low
59,never
60,ever
61,try
62,resist
63,oh
64,let
65,love
66,come
67,tumbling
68,lives
69,ooh
70,love
71,love
72,love
73,want
74,know
75,right
76,know
77,right
78,ooh
79,love
80,uhuh
81,yeah
82,uh
83,want
84,know
85,right
86,uh
87,want
88,give
89,love
90,uh
91,yeah
92,want
93,give
94,good
95,good
96,loving
97,oh
98,want
99,give
100,good
101,good
102,loving
103,want
104,give
105,good
106,good
107,loving
108,want
109,give
110,love
111,want
112,give
113,good
114,good
115,loving
116,oh
117,oh
118,oh
119,want
120,give
121,good
122,good
123,loving
