,Breakeven_The Script
0,i'm
1,still
2,alive
3,i'm
4,barely
5,breathing
6,praying
7,god
8,believe
9,'cause
10,got
11,time
12,got
13,freedom
14,'cause
15,heart
16,breaks
17,break
18,even
19,best
20,days
21,worst
22,finally
23,met
24,man
25,that's
26,gonna
27,put
28,first
29,i'm
30,wide
31,awake
32,trouble
33,sleeping
34,'cause
35,heart
36,breaks
37,breakeven
38,even
39,supposed
40,best
41,part
42,always
43,supposed
44,say
45,i'm
46,choked
47,ok
48,i'm
49,falling
50,pieces
51,yeah
52,i'm
53,falling
54,pieces
55,say
56,bad
57,things
58,happen
59,reason
60,wise
61,words
62,gonna
63,stop
64,bleeding
65,'cause
66,moved
67,i'm
68,still
69,grieving
70,heart
71,breaks
72,breakeven
73,even
74,even
75,gonna
76,best
77,part
78,always
79,supposed
80,say
81,i'm
82,choked
83,ok
84,i'm
85,falling
86,pieces
87,yeah
88,i'm
89,falling
90,pieces
91,yeah
92,i'm
93,falling
94,pieces
95,one
96,still
97,love
98,one's
99,leaving
100,i'm
101,falling
102,pieces
103,'cause
104,heart
105,breaks
106,break
107,even
108,oh
109,got
110,heart
111,heart
112,none
113,pain
114,took
115,suitcase
116,took
117,blame
118,i'm
119,tryna
120,make
121,sense
122,little
123,remains
124,oh
125,'cause
126,left
127,love
128,love
129,name
130,i'm
131,still
132,alive
133,i'm
134,barely
135,breathing
136,prayed
137,god
138,believe
139,'cause
140,got
141,time
142,got
143,freedom
144,'cause
145,heart
146,breaks
147,break
148,break
149,break
150,even
151,gonna
152,best
153,part
154,always
155,supposed
156,say
157,i'm
158,choked
159,ok
160,i'm
161,falling
162,pieces
163,yeah
164,i'm
165,falling
166,pieces
167,yeah
168,i'm
169,falling
170,pieces
171,one
172,still
173,love
174,one's
175,leaving
176,i'm
177,falling
178,pieces
179,'cause
180,heart
181,breaks
182,break
183,even
184,oh
185,break
186,even
187,oh
188,break
189,even
190,oh
191,break
192,even
