,Technicolour Beat_Oh Wonder
0,josephine
1,vander
2,gucht
3,anthony
4,west
5,lay
6,slow
7,come
8,settle
9,settle
10,let
11,loose
12,glow
13,come
14,settle
15,settle
16,prechorus
17,josephine
18,vander
19,gucht
20,anthony
21,west
22,feel
23,life
24,first
25,time
26,love
27,arms
28,sun
29,eyes
30,feel
31,safe
32,5am
33,light
34,carry
35,fears
36,heavens
37,set
38,fire
39,josephine
40,vander
41,gucht
42,anthony
43,west
44,jump
45,heat
46,spinning
47,feet
48,technicolour
49,beat
50,caught
51,dream
52,technicolour
53,beat
54,beat
55,beat
56,beat
57,josephine
58,vander
59,gucht
60,anthony
61,west
62,warm
63,unalone
64,come
65,settle
66,settle
67,swing
68,bones
69,come
70,settle
71,settle
72,prechorus
73,josephine
74,vander
75,gucht
76,anthony
77,west
78,feel
79,life
80,first
81,time
82,love
83,arms
84,sun
85,eyes
86,feel
87,safe
88,5am
89,light
90,carry
91,fears
92,heavens
93,set
94,fire
95,josephine
96,vander
97,gucht
98,anthony
99,west
100,jump
101,heat
102,spinning
103,feet
104,technicolour
105,beat
106,caught
107,dream
108,technicolour
109,beat
110,beat
111,josephine
112,vander
113,gucht
114,anthony
115,west
116,give
117,one
118,drop
119,feel
120,make
121,lose
122,control
123,we'll
124,walking
125,water
126,we're
127,moving
128,technicolour
129,beat
130,moving
131,technicolour
132,beat
133,variation
134,josephine
135,vander
136,gucht
137,anthony
138,west
139,jump
140,heat
141,falling
142,ceiling
143,spinning
144,feet
145,we're
146,moving
147,technicolour
148,beat
149,found
150,another
151,feeling
152,caught
153,dream
154,we're
155,moving
156,technicolour
157,beat
158,jump
159,heat
160,spinning
161,feet
162,we're
163,moving
164,technicolour
165,beat
166,caught
167,dream
168,we're
169,moving
170,technicolour
171,beat
172,josephine
173,vander
174,gucht
175,anthony
176,west
177,beat
178,beat
