,One_U2
0,getting
1,better
2,feel
3,make
4,easier
5,got
6,someone
7,blame
8,say
9,one
10,love
11,one
12,life
13,one
14,need
15,night
16,one
17,love
18,get
19,share
20,leaves
21,baby
22,care
23,disappoint
24,leave
25,bad
26,taste
27,mouth
28,act
29,like
30,never
31,love
32,want
33,go
34,without
35,well
36,late
37,tonight
38,drag
39,past
40,light
41,we're
42,one
43,we're
44,get
45,carry
46,carry
47,one
48,come
49,forgiveness
50,come
51,raise
52,dead
53,come
54,play
55,jesus
56,lepers
57,head
58,ask
59,much
60,lot
61,gave
62,nothing
63,got
64,we're
65,one
66,we're
67,well
68,hurt
69,say
70,love
71,temple
72,love
73,higher
74,law
75,love
76,temple
77,love
78,higher
79,law
80,ask
81,enter
82,make
83,crawl
84,can't
85,holding
86,got
87,got
88,hurt
89,one
90,love
91,one
92,blood
93,one
94,life
95,got
96,one
97,life
98,sisters
99,brothers
100,one
101,life
102,we're
103,get
104,carry
105,carry
106,one
107,one
108,oohoohooh
109,ohooh
110,may
111,may
112,may
113,get
114,higher
115,oh
116,higher
117,ay
118,yeah
119,go
120,higher
121,oh
122,higher
