,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack_The Weeknd"
0,winners
1,bold
2,unless
3,otherwise
4,noted
5,best
6,female
7,rbpop
8,artist
9,beyoncé
10,ciara
11,janelle
12,monáe
13,jhené
14,aiko
15,k
16,michelle
17,rihanna
18,best
19,male
20,rbpop
21,artist
22,august
23,alsina
24,chris
25,brown
26,john
27,legend
28,weeknd
29,trey
30,songz
31,usher
32,best
33,group
34,aap
35,mob
36,jodeci
37,migos
38,rae
39,sremmurd
40,rich
41,gang
42,young
43,money
44,best
45,collaboration
46,august
47,alsina
48,f
49,nicki
50,minaj
51,–
52,love
53,remix
54,big
55,sean
56,f
57,e40
58,–
59,idfwu
60,chris
61,brown
62,f
63,lil
64,wayne
65,tyga
66,–
67,loyal
68,chris
69,brown
70,f
71,usher
72,rick
73,ross
74,–
75,new
76,flame
77,common
78,john
79,legend
80,–
81,glory
82,motion
83,picture
84,“selma”
85,mark
86,ronson
87,f
88,bruno
89,mars
90,–
91,uptown
92,funk
93,best
94,male
95,hip
96,hop
97,artist
98,big
99,sean
100,common
101,drake
102,j
103,cole
104,kendrick
105,lamar
106,wale
107,best
108,female
109,hip
110,hop
111,artist
112,azealia
113,banks
114,dej
115,loaf
116,iggy
117,azalea
118,nicki
119,minaj
120,tink
121,trina
122,video
123,year
124,beyoncé
125,–
126,711
127,big
128,sean
129,f
130,e40
131,–
132,idfwu
133,chris
134,brown
135,f
136,lil
137,wayne
138,tyga
139,–
140,loyal
141,chris
142,brown
143,f
144,usher
145,rick
146,ross
147,–
148,new
149,flame
150,common
151,john
152,legend
153,–
154,glory
155,motion
156,picture
157,“selma”
158,nicki
159,minaj
160,–
161,anaconda
162,video
163,director
164,year
165,benny
166,boom
167,beyoncé
168,ed
169,burke
170,todd
171,tourso
172,chris
173,robinson
174,fatima
175,robinson
176,hype
177,williams
178,best
179,new
180,artist
181,bobby
182,shmurda
183,dej
184,loaf
185,fetty
186,wap
187,rae
188,sremmurd
189,sam
190,smith
191,tinashe
192,best
193,gospel
194,artist
195,deitrick
196,haddon
197,erica
198,campbell
199,fred
200,hammond
201,lecrae
202,mali
203,music
204,michelle
205,williams
206,best
207,actress
208,gabrielle
209,union
210,kerry
211,washington
212,taraji
213,p
214,henson
215,tracee
216,ellis
217,ross
218,viola
219,davis
220,best
221,actor
222,anthony
223,anderson
224,idris
225,elba
226,jussie
227,smollett
228,kevin
229,hart
230,terrence
231,howard
232,youngstars
233,award
234,jacob
235,latimore
236,jaden
237,smith
238,mo’ne
239,davis
240,quvenzhané
241,wallis
242,zendaya
243,best
244,movie
245,annie
246,beyond
247,lights
248,selma
249,think
250,like
251,man
252,top
253,five
254,sportswoman
255,year
256,brittney
257,griner
258,candace
259,parker
260,serena
261,williams
262,skylar
263,diggins
264,venus
265,williams
266,sportsman
267,year
268,chris
269,paul
270,floyd
271,mayweather
272,jr
273,lebron
274,james
275,marshawn
276,lynch
277,stephen
278,curry
279,cocacola
280,viewers’
281,choice
282,award
283,beyoncé
284,–
285,711
286,dej
287,loaf
288,–
289,try
290,kendrick
291,lamar
292,–
293,nicki
294,minaj
295,f
296,drake
297,lil
298,wayne
299,chris
300,brown
301,–
302,rae
303,sremmurd
304,f
305,nicki
306,minaj
307,young
308,thug
309,–
310,throw
311,sum
312,mo
313,weeknd
314,–
315,earned
316,“fifty
317,shades
318,grey”
319,soundtrack
320,centric
321,award
322,avery
323,sunshine
324,–
325,call
326,name
327,jazmine
328,sullivan
329,f
330,meek
331,mill
332,–
333,dumb
334,mark
335,ronson
336,f
337,bruno
338,mars
339,–
340,uptown
341,funk
342,sam
343,smith
344,f
345,mary
346,j
347,blige
348,–
349,stay
350,weeknd
351,–
352,earned
353,“fifty
354,shades
355,grey”
356,soundtrack
357,best
358,international
359,act
360,africa
361,aka
362,south
363,africa
364,fally
365,ipupa
366,dr
367,congo
368,sarkodie
369,ghana
370,sauti
371,sol
372,kenya
373,stonebwoy
374,ghana
375,soil
376,south
377,africa
378,wizkid
379,nigeria
380,yemi
381,alade
382,nigeria
383,best
384,international
385,act
386,uk
387,fka
388,twigs
389,fuse
390,odg
391,lethal
392,bizzle
393,little
394,simz
395,mnek
396,stormzy
397,humanitarian
398,award
399,tom
400,joyner
401,lifetime
402,achievement
403,award
404,smokey
405,robinson
406,ultimate
407,iconmusic
408,dance
409,visual
410,award
411,janet
412,jackson
413,fandemonium
414,award
415,chris
416,brown
