,Song Name,Artist,Words count,Year,Bin
0,The Scientist,Coldplay,101,2002,2000s
1,Yellow,Coldplay,99,2000,2000s
2,Fix You,Coldplay,93,2005,2000s
3,Chasing Cars,Snow Patrol,83,2006,2000s
4,I'm Yours,Jason Mraz,227,2008,2000s
5,I Will Follow You Into The Dark,Death Cab for Cutie,110,2006,2000s
6,How to Save a Life,The Fray,166,2005,2000s
7,She Will Be Loved,Maroon 5,144,2002,2000s
8,Such Great Heights,The Postal Service,123,2003,2000s
9,Skinny Love,Bon Iver,76,2007,2000s
10,Somewhere Only We Know,Keane,125,2004,2000s
11,This Love,Maroon 5,134,2002,2000s
12,Best I Ever Had,Drake,408,2009,2000s
13,I MISS YOU,blink-182,150,2004,2000s
14,Here Without You,3 Doors Down,119,2002,2000s
15,Halo,Beyoncé,231,2009,2000s
16,The Reason,Hoobastank,86,2003,2000s
17,Hey There Delilah,Plain White T's,152,2006,2000s
18,All I Need,Radiohead,49,2007,2000s
19,Heartbeats,José González,80,2003,2000s
20,Better Together,Jack Johnson,152,2005,2000s
21,My Immortal,Evanescence,110,2003,2000s
22,You've Got the Love,Florence + the Machine,125,2009,2000s
23,Maps,Yeah Yeah Yeahs,100,2003,2000s
24,House of Cards,Radiohead,61,2007,2000s
25,You're Beautiful,James Blunt,87,2005,2000s
26,Bleeding Love,Leona Lewis,215,2007,2000s
27,Home,Edward Sharpe & The Magnetic Zeros,240,2009,2000s
28,Digital Love,Daft Punk,73,2001,2000s
29,Chasing Pavements,Adele,122,2008,2000s
30,Banana Pancakes,Jack Johnson,168,2005,2000s
31,Something About Us,Daft Punk,43,2001,2000s
32,Love Is a Losing Game,Amy Winehouse,65,2007,2000s
33,Green Eyes,Coldplay,72,2002,2000s
34,Breathe Me,Sia,48,2004,2000s
35,Love Lockdown,Kanye West,214,2008,2000s
36,Fidelity,Regina Spektor,154,2006,2000s
37,"Hey, Soul Sister",Train,168,2009,2000s
38,Run,Snow Patrol,109,2004,2000s
39,Strawberry Swing,Coldplay,91,2008,2000s
40,Heart Skipped a Beat,The xx,116,2009,2000s
41,First Day of My Life,Bright Eyes,103,2005,2000s
42,Make You Feel My Love,Adele,91,2008,2000s
43,Love Song,Sara Bareilles,202,2007,2000s
44,Naked As We Came,Iron & Wine,52,2004,2000s
45,Warning Sign,Coldplay,87,2002,2000s
46,Open Your Eyes,Snow Patrol,104,2007,2000s
47,Sparks,Coldplay,70,2000,2000s
48,Come Away with Me,Norah Jones,53,2002,2000s
49,This Modern Love,Bloc Party,130,2005,2000s
50,Cosmic Love,Florence + the Machine,87,2009,2000s
51,Unfaithful,Rihanna,156,2006,2000s
52,No One,Alicia Keys,150,2007,2000s
