,Rank,Song Name,Artist,Album,Lyrics,Year,bins
0,2,The Scientist,Coldplay,A Rush of Blood to the Head,"[Verse 1]
Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
Tell you I set you apart
Tell me your secrets, and ask me your questions
Oh, let's go back to the start
Running in circles, coming up tails
Heads on a science apart

[Chorus]
Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start

[Verse 2]
I was just guessing at numbers and figures
Pulling the puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
Tell me you love me, come back and haunt me
Oh, and I rush to the start
Running in circles, chasing our tails
Coming back as we are

[Chorus]
Nobody said it was easy
Oh it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start

[Outro]
Oh-ooh ooh-ooh-ooh-ooh
Aah-ooh ooh-ooh-ooh-ooh
Oh-ooh ooh-ooh-ooh-ooh
Oh-ooh ooh-ooh-ooh-ooh",2002,2000s
1,3,Yellow,Coldplay,Parachutes,"[Verse 1: Chris Martin]
Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called ""Yellow""
So then I took my turn
Oh, what a thing to have done
And it was all yellow

[Chorus 1: Chris, Jonny & Will]
(Aah) Your skin, oh yeah, your skin and bones
(Ooh) Turn into something beautiful
(Aah) You know, you know I love you so
You know I love you so

[Verse 2: Chris Martin]
I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow

[Chorus 2: Chris, Jonny & Will]
(Aah) Your skin, oh yeah, your skin and bones
(Ooh) Turn into something beautiful
(Aah) And you know
For you, I'd bleed myself dry
For you, I'd bleed myself dry

[Bridge: Chris Martin]
It's true, look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

[Outro: Chris Martin]
Look at the stars
Look how they shine for you
And all the things that you do",2000,2000s
2,4,Fix You,Coldplay,X&Y,"[Verse 1: Chris Martin]
When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
And the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?

[Chorus: Chris & Will, Chris]
Lights will guide you home
And ignite your bones
And I will try to fix you

[Verse 2: Chris Martin]
And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth

[Chorus: Chris & Will, Chris]
Lights will guide you home
And ignite your bones
And I will try to fix you

[Instrumental]

[Bridge: Chris, Jonny, Guy, Will]
Tears stream down your face
When you lose something you cannot replace
Tears stream down your face
And I

[Breakdown: Chris, Jonny, Guy, Will]
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face
And I

[Outro: Chris Martin]
Lights will guide you home
And ignite your bones
And I will try to fix you",2005,2000s
3,5,Chasing Cars,Snow Patrol,Eyes Open,"[Verse 1]
We'll do it all
Everything
On our own
We don't need
Anything
Or anyone

[Chorus]
If I lay here
If I just lay here
Would you lie with me
And just forget the world?

[Verse 2]
I don't quite know
How to say
How I feel
Those three words
Are said too much
They're not enough

[Chorus]
If I lay here
If I just lay here
Would you lie with me
And just forget the world?
Forget what we're told
Before we get too old
Show me a garden
That's bursting into life

[Bridge]
Let's waste time
Chasing cars
Around our heads
I need your grace
To remind me
To find my own

[Chorus]
If I lay here
If I just lay here
Would you lie with me
And just forget the world?
Forget what we're told
Before we get too old
Show me a garden
That's bursting into life

[Chorus 2]
All that I am
All that I ever was
Is here in your perfect eyes
They're all I can see
I don't know where
Confused about how as well
Just know that these things
Will never change for us at all

[Chorus]
If I lay here
If I just lay here
Would you lie with me
And just forget the world?",2006,2000s
4,7,I'm Yours,Jason Mraz,I'm Yours,"[Verse 1]
Well, you done done me, and you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
And now I'm trying to get back
Before the cool done run out
I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon it's again my turn
To win some or learn some

[Chorus]
But I won't hesitate no more
No more it cannot wait, I'm yours
Hmm (Hey, hey)

[Verse 2]
Well, open up your mind and see like me
Open up your plans and, damn, you're free
And look into your heart, and you'll find love, love, love, love
Listen to the music of the moment, people dance and sing
We're just one big family
And it's our God-forsaken right to be loved, love, love, love, loved

[Chorus]
So I won't hesitate no more
No more it cannot wait, I'm sure

[Post-Chorus]
There's no need to complicate
Our time is short
This is our fate, I'm yours
A-do you, do, do, do you, but do you, do you, do, do, but do you want to come on?
Scooch on over closer, dear
And I will nibble your ear
A-soo da ba ba ba ba bum
Whoa, oh oh oh
Whoa, oh oh oh oh whoa whoa whoa
Uh-huh, hmm

[Verse 3]
I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed
I guess what I've been saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

[Chorus]
But I won't hesitate no more
No more it cannot wait, I'm yours

[Verse 4]
Well, open up your mind and see like me (I won't hesitate)
Open up your plans and, damn, you're free (No more, no more)
And look into your heart, and you'll find that (It cannot wait)
The sky is yours (I'm sure there's no)
So please don't, please don't, please don't (No need, oh, now now)
There's no need to complicate (For the reggae, our time)
'Cause our time is short (Is short, this)
This oh, this oh, this is our fate (Is our fate)
I'm yours, ha!

[Outro]
Brr da ba mmm da ba bo mmm day
Na ch doo, doo ch doo, doo ch doo doo mmm doo doo
(Hey, hey) Oh, I'm yours, oh-oh, I'm yours
Oh-oh-oh-oh, whoa-oh-oh-oh
Baby, do you believe I'm yours?
You best believe, you best believe I'm yours, hmm",2008,2000s
5,8,I Will Follow You Into The Dark,Death Cab for Cutie,Plans,"[Verse 1]
Love of mine, someday you will die
But I'll be close behind; I'll follow you into the dark
No blinding light or tunnels to gates of white
Just our hands clasped so tight, waiting for the hint of a spark

[Chorus]
If Heaven and Hell decide that they both are satisfied
Illuminate the ""No""s on their Vacancy signs
If there's no one beside you when your soul embarks
Then I'll follow you into the dark

[Verse 2]
In Catholic school, as vicious as Roman rule
I got my knuckles bruised by a lady in black
And I held my tongue as she told me, ""Son
Fear is the heart of love,"" so I never went back

[Chorus]
If Heaven and Hell decide that they both are satisfied
Illuminate the ""No""s on their Vacancy signs
If there's no one beside you when your soul embarks
Then I'll follow you into the dark

[Bridge]
You and me have seen everything to see
From Bangkok to Calgary and the soles of your shoes
Are all worn down; the time for sleep is now
It's nothing to cry about 'cause we'll hold each other soon
In the blackest of rooms

[Chorus]
And if Heaven and Hell decide that they both are satisfied
And illuminate the ""No""s on their Vacancy signs
If there's no one beside you when your soul embarks
Then I'll follow you into the dark

[Outro]
Then I'll follow you into the dark",2006,2000s
6,9,How to Save a Life,The Fray,How to Save a Life,"[Verse 1]
Step one, you say we need to talk
He walks, you say ""sit down; it's just a talk""
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As he goes left and you stay right
Between the lines of fear and blame
You begin to wonder why you came

[Chorus]
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

[Verse 2]
Let him know that you know best
'Cause after all, you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
And pray to God He hears you
And pray to God He hears you, and

[Chorus]
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

[Verse 3]
As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came

[Chorus]
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

[Refrain]
How to save a life
How to save a life

[Chorus]
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

[Outro]
How to save a life
How to save a life",2005,2000s
7,11,She Will Be Loved,Maroon 5,Songs About Jane,"[Verse 1]
Beauty queen of only eighteen
She had some trouble with herself
He was always there to help her
She always belonged to someone else
I drove for miles and miles
And wound up at your door
I've had you so many times
But somehow, I want more

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved

[Verse 2]
Tap on my window, knock on my door
I want to make you feel beautiful
I know I tend to get so insecure
Doesn't matter anymore
It's not always rainbows and butterflies
It's compromise that moves us along, yeah
My heart is full and my door's always open
You come any time you want, yeah

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved

[Bridge]
I know where you hide
Alone in your car
Know all of the things that make you who you are
I know that goodbye means nothing at all
Comes back and makes me catch her every time she falls, yeah
Tap on my window, knock on my door
I want to make you feel beautiful

[Chorus]
I don't mind spending every day
Out on your corner in the pouring rain, oh
Look for the girl with the broken smile
Ask her if she wants to stay a while
And she will be loved
And she will be loved
And she will be loved
And she will be loved

[Outro fading out]
I don't mind spending every day
Out on your corner in the pouring rain
Please don't try so hard to say goodbye",2002,2000s
8,12,Such Great Heights,The Postal Service,Give Up,"[Verse 1]
I am thinking it's a sign
That the freckles in our eyes
Are mirror images
And when we kiss they're perfectly aligned

And I have to speculate
That God himself did make
Us into corresponding shapes
Like puzzle pieces from the clay

[Verse 2]
And true, it may seem like a stretch
But it's thoughts like this that catch
My troubled head when you're away
When I am missing you to death

When you are out there on the road
For several weeks of shows
And when you scan the radio
I hope this song will guide you home

[Chorus]
They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

[Verse 3]
I tried my best to leave
This all on your machine
But the persistent beat
It sounded thin upon listening

And that frankly will not fly
You will hear the shrillest highs
And lowest lows with the windows down
When this is guiding you home

[Chorus]
They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

They will see us waving from such great heights
""Come down now,"" they'll say
But everything looks perfect from far away
""Come down now,"" but we'll stay

[Outro]
(They will see us waving from such great heights)
(Come down now)
They will see us waving from such great heights
(Come down now)",2003,2000s
9,13,Skinny Love,Bon Iver,"For Emma, Forever Ago","[Verse 1]
Come on, skinny love, just last the year
Pour a little salt, we were never here
My, my, my, my, my, my, my, my
Staring at the sink of blood and crushed veneer
I tell my love to wreck it all
Cut out all the ropes and let me fall
My, my, my, my, my, my, my, my
Right in this moment, this order's tall

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And in the morning I'll be with you
But it will be a different kind
And I'll be holding all the tickets
And you'll be owning all the fines

[Verse 2]
Come on, skinny love, what happened here?
Suckle on the hope in light brassieres
My, my, my, my, my, my, my, my
Sullen load is full, so slow on the split

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And now all your love is wasted
And then who the hell was I?
And I'm breaking at the britches
And at the end of all your lines

[Verse 3]
Who will love you?
Who will fight?
Who will fall far behind?",2007,2000s
